dID,Lock,QA,File,Date_time,Method,Location,Borehole,Datum_ESPG,X,Y,H_masl,Well_depth_m,Log,Notes
1,TRUE,TRUE,level_file,2019-09-30 11:27:00,GPS-SRTM,EASTERN SHORE,APU1,4326,32.48047167,-28.26735,29.000,5.86,FALSE,
2,TRUE,FALSE,level_file,2001-08-21 12:00:00,EKZNW,EASTERN SHORE,C2 PLG,,32.51606,-28.17401,77.700,12.46,FALSE,Data from EKZNW (21Aug2001.xls). Unknown datum.
3,TRUE,FALSE,level_file,2001-08-21 12:00:00,EKZNW,EASTERN SHORE,C5 EKZNW,,32.4742,-28.17024,156.000,4.05,FALSE,Data from EKZNW (21Aug2001.xls). Unknown datum.
4,TRUE,FALSE,level_file,2001-08-21 12:00:00,EKZNW,EASTERN SHORE,D3 PLG,,32.507,-28.11767,102.100,16.35,FALSE,Data from EKZNW (21Aug2001.xls). Unknown datum.
5,TRUE,FALSE,level_file,2001-08-21 12:00:00,EKZNW,EASTERN SHORE,D5 EKZNW,,32.48437,-28.11501,101.400,3.29,FALSE,Data from EKZNW (21Aug2001.xls). Unknown datum.
6,TRUE,TRUE,level_file,2019-09-30 11:37:00,GPS-SRTM,EASTERN SHORE,ELEPHANT BOMA,4326,32.49012,-28.21999,13.000,9.95,FALSE,
7,TRUE,TRUE,level_file,2019-09-30 11:37:00,GPS-SRTM,EASTERN SHORE,HIPPO WELL,4326,32.42761,-28.31772,12.000,1.87,FALSE,
8,TRUE,TRUE,baro_file,2019-09-30 11:40:00,GPS-SRTM,EASTERN SHORE,BARO_MFABENI,4326,32.524842,-28.150036,12.000,NA,FALSE,
9,TRUE,TRUE,level_file,2019-09-30 11:44:00,GPS-SRTM,EASTERN SHORE,MFS1 PLG,4326,32.50609,-28.14432,27.000,1.78,FALSE,
10,TRUE,TRUE,baro_file,2019-09-30 11:47:00,GPS-SRTM,EASTERN SHORE,BARO_MISSION ROCKS,4326,32.48047167,-28.26735,92.000,NA,FALSE,
11,TRUE,TRUE,level_file,2019-09-30 11:50:00,GPS-SRTM,EASTERN SHORE,MSP1B,4326,32.524842,-28.150036,12.000,,FALSE,
12,TRUE,TRUE,level_file,2019-09-30 11:52:00,GPS-SRTM,EASTERN SHORE,DWAF A2,4326,32.53580333,-28.17357667,72.000,,FALSE,
13,TRUE,TRUE,level_file,2019-09-30 11:52:00,GPS-SRTM,EASTERN SHORE,WETLAND PLG,4326,32.51346,-28.18135667,17.000,8.14,FALSE,
14,TRUE,TRUE,baro_file,2019-09-30 12:47:00,GPS-SRTM,SIBHAYI,BARO_CAMP,4326,32.68564718,-27.42265171,30.000,NA,FALSE,
15,TRUE,TRUE,level_file,2017-11-16 12:00:00,DWAS survey,SIBHAYI,SIB01A,4326,32.71206,-27.29523,41.176,27,FALSE,8mm Mark in Concrete at DWS borehole base.
16,TRUE,TRUE,level_file,2017-11-16 13:02:00,DWAS survey,SIBHAYI,SIB01B,4326,32.71203,-27.29526,41.146,46,FALSE,8mm Mark in Concrete at DWS borehole base.
17,TRUE,TRUE,level_file,2017-11-16 08:46:00,DWAS survey,SIBHAYI,SIB02,4326,32.66628,-27.41875,34.488,,FALSE,8mm Mark in Concrete at DWS borehole base.
18,TRUE,TRUE,level_file,2019-09-30 13:14:00,DWAS survey,SIBHAYI,EAST,4326,32.7107,-27.32747,15.670,1.36,FALSE,12 mm Iron peg in concrete large lake. Peg is next to the borehole at ground level.
19,TRUE,TRUE,level_file,2018-03-14 16:50:00,DWAS survey,SIBHAYI,SOUTH,4326,32.69785,-27.41813,9.401,1.56,FALSE,The inital borehole installation was above the second. After lowering of the lake level the borehole was moved lower so that the pressure transducer remained in the lake.
20,TRUE,TRUE,level_file,2019-10-01 14:09:00,GPS-SRTM,SILEZA,SILEZA CAMP,4326,32.6041,-27.08733,82.000,,FALSE,
21,TRUE,TRUE,baro_file,2019-10-01 14:20:00,GPS-SRTM,SILEZA,BARO_SILEZA,4326,32.6041,-27.08733,85.000,NA,FALSE,
22,TRUE,TRUE,level_file,2017-11-14 12:00:00,DWAS survey,VASI,A1,4326,32.71654,-27.17816,52.185,3.28,FALSE,
23,TRUE,TRUE,level_file,2016-08-04 12:00:00,Dumpy level from the  new A3 borehole.,VASI,A3,4326,32.7181,-27.17804,51.075,1.34,FALSE,"After the more shallow version of A3 ran dry, a deeper borehole was sunk next to the old one. The new version of A3 was surveyed by DWAS."
24,FALSE,FALSE,level_file,2018-03-13 12:00:00,GPS-SRTM - coords copied from A3,VASI,A3,4326,32.7181,-27.17804,,2.55,FALSE,Installed after the DWAS survey. Survey needs to be done with a dumpy level.
25,TRUE,TRUE,level_file,2016-11-10 12:00:00,GPS-SRTM - coords copied from A5 NEW,VASI,A5,4326,32.71984,-27.17878,51.263,,FALSE,
26,TRUE,TRUE,level_file,2017-08-17 13:00:00,DWAS survey,VASI,A5,4326,32.71984,-27.17878,51.263,3.08,FALSE,
27,TRUE,TRUE,level_file,2017-09-13 09:30:00,DWAS survey,VASI,A5,4326,32.71984,-27.17878,51.263,2.3,FALSE,The borehole was burnt in a veld fire on the 12 Sep 2017. Siphiwe installed a new pipe and cap on the 13th Sep 2017.
28,TRUE,TRUE,level_file,2018-05-08 10:36:08,DWAS survey,VASI,A5,4326,32.71984,-27.17878,51.263,2.55,FALSE,
29,TRUE,TRUE,level_file,2019-04-07 15:51:00,GPS-SRTM,VASI,B3,4326,32.71859,-27.17718,58.000,,FALSE,This logger was not replaced after the Vasi fires (2017-07-05).
30,TRUE,TRUE,baro_file,,GPS-SRTM,VASI,BARO_SCIENCE CENTRE,4326,32.71414,-27.16434,61.000,NA,FALSE,
31,TRUE,TRUE,level_file,2016-08-05 12:00:00,DWAS survey,VASI,BUKHOSINI,4326,32.71279,-27.1622,64.809,,FALSE,The orginal depth to logger is unknown.
32,TRUE,TRUE,level_file,2017-01-20 10:54:00,DWAS survey,VASI,BUKHOSINI,4326,32.71279,-27.1622,64.809,,FALSE,"The depth to the logger was shortened from previous records as 5.8m of the logger cable was found outside the borehole, probably due to the new pump that was installed in the borehole."
