"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2021-06-16 11:55:00",106550,2.737,1.573,38.82,26.21,47.08,634.6,22.56,0,28.25
"2021-06-16 12:00:00",106551,3.34,336.7,33.84,26.33,44.15,622,22.75,0,28.47
"2021-06-16 12:05:00",106552,2.962,353.2,28.91,26.27,43.78,601.5,22.67,0,28.3
"2021-06-16 12:10:00",106553,2.912,350.1,34.29,26.28,44.9,599.2,22.79,0,28.31
"2021-06-16 12:15:00",106554,3.653,337.9,30.72,26.24,43.76,599.5,22.67,0,28.31
"2021-06-16 12:20:00",106555,3.408,354.3,40.26,26.25,43.23,598.9,24.64,0,28.31
"2021-06-16 12:25:00",106556,3.345,353.3,29.1,26.24,42.78,590.2,24.2,0,28.31
"2021-06-16 12:30:00",106557,3.733,1.191,29.01,26.13,43.34,590,24.35,0,28.17
"2021-06-16 12:35:00",106558,3.298,351.9,21.85,26.39,42.84,583.1,24.19,0,28.46
"2021-06-16 12:40:00",106559,3.115,350.4,25.53,26.41,43.16,571.4,23.96,0,28.49
"2021-06-16 12:45:00",106560,3.702,3.688,20.48,26.16,43.34,480.5,21.85,0,28
"2021-06-16 12:50:00",106561,2.842,1.266,32.19,26.2,42.7,561.2,23.53,0,27.96
"2021-06-16 12:55:00",106562,3.072,351.6,34.39,26.58,41.89,600.7,24.08,0,28.39
"2021-06-16 13:00:00",106563,3.232,0.684,41.28,26.59,40.63,591.7,23.2,0,28.57
"2021-06-16 13:05:00",106564,2.718,354.8,39.68,26.57,41.71,503.1,20.96,0,28.55
"2021-06-16 13:10:00",106565,3.355,355.1,30.45,26.48,41.66,612,23.77,0,28.54
"2021-06-16 13:15:00",106566,3.183,1.283,29.65,26.7,41.51,629.2,23.9,0,28.76
"2021-06-16 13:20:00",106567,3.655,5.513,34.68,26.46,40.52,582,22.86,0,28.53
"2021-06-16 13:25:00",106568,2.59,355.5,29.85,26.69,40.89,540.9,21.51,0,28.74
"2021-06-16 13:30:00",106569,3.357,0.879,38.26,26.76,41.6,530.9,21.23,0,28.86
"2021-06-16 13:35:00",106570,3.353,357.7,25.81,26.49,41.15,523.2,20.76,0,28.52
"2021-06-16 13:40:00",106571,3.013,354.5,37.82,26.65,40.93,499.8,19.68,0,28.64
"2021-06-16 13:45:00",106572,3.36,357.7,29.29,26.64,39.86,485.5,19.13,0,28.51
"2021-06-16 13:50:00",106573,2.958,356.5,27.98,26.51,41.18,473.5,18.66,0,28.34
"2021-06-16 13:55:00",106574,2.752,354.7,30.23,26.64,41.32,457.8,17.91,0,28.37
"2021-06-16 14:00:00",106575,2.778,2.799,38.07,26.62,42.06,444.8,17.32,0,28.37
"2021-06-16 14:05:00",106576,2.682,6.546,23.2,26.58,41.9,424.9,16.12,0,28.35
"2021-06-16 14:10:00",106577,3.187,351.6,25.64,26.38,42.99,423.3,16.12,0,28.02
"2021-06-16 14:15:00",106578,3.062,351.7,43,26.35,43.02,415.2,15.96,0,27.98
"2021-06-16 14:20:00",106579,2.65,344.3,25.62,26.39,44.07,404,15.59,0,27.9
"2021-06-16 14:25:00",106580,2.76,350,31.53,26.39,43.65,390.4,14.99,0,27.93
"2021-06-16 14:30:00",106581,3.128,7.584,16.49,26.34,44.02,376.3,14.33,0,27.78
"2021-06-16 14:35:00",106582,3.047,1.745,30.12,26.24,44.4,361.9,13.75,0,27.6
"2021-06-16 14:40:00",106583,2.303,359.3,36.89,26.17,45.58,344.6,13.06,0,27.46
"2021-06-16 14:45:00",106584,2.497,355,26.1,26.27,45,333.5,12.48,0,27.53
"2021-06-16 14:50:00",106585,2.135,354.5,24.72,26.3,45.85,319.2,11.85,0,27.43
"2021-06-16 14:55:00",106586,2.805,6.353,28.75,26.18,47.17,308.1,11.39,0,27.25
"2021-06-16 15:00:00",106587,2.708,6.86,30.34,25.91,47.99,296.1,10.89,0,26.91
"2021-06-16 15:05:00",106588,2.435,2.875,23.02,25.81,48.36,280.4,10.31,0,26.76
"2021-06-16 15:10:00",106589,2.838,10.24,28.67,25.74,48.63,265.6,9.7,0,26.6
"2021-06-16 15:15:00",106590,2.587,357,34.58,25.63,50.29,251.9,9.13,0,26.4
"2021-06-16 15:20:00",106591,2.605,356.1,31.21,25.6,49.28,238.6,8.66,0,26.33
"2021-06-16 15:25:00",106592,2.62,354.1,25.94,25.28,50.69,224.3,8.13,0,25.91
"2021-06-16 15:30:00",106593,1.95,357,26.86,25.32,51.11,208.1,7.588,0,25.85
"2021-06-16 15:35:00",106594,2.38,7.843,34.77,25.26,51.28,192.7,6.992,0,25.72
"2021-06-16 15:40:00",106595,2.627,6.16,28.57,25.14,50.82,178.5,6.516,0,25.49
"2021-06-16 15:45:00",106596,2.095,358.6,23.21,24.99,51.69,164.5,6.048,0,25.22
"2021-06-16 15:50:00",106597,1.705,351.2,26.74,24.85,53.04,150.7,5.556,0,25.02
"2021-06-16 15:55:00",106598,1.443,359.9,26.08,24.82,53.4,134.9,5.043,0,24.8
"2021-06-16 16:00:00",106599,2.153,359.8,22.36,24.64,53.75,122.3,4.558,0,24.13
"2021-06-16 16:05:00",106600,1.752,13.32,22.28,24.44,54.88,97.5,4.069,0,23.61
"2021-06-16 16:10:00",106601,1.913,9.02,21.27,24.08,56.72,43.63,3.573,0,23.25
"2021-06-16 16:15:00",106602,1.618,12.21,17.96,23.72,57.58,38.7,3.159,0,22.94
"2021-06-16 16:20:00",106603,1.46,9.88,32.95,23.51,58.76,42.73,2.771,0,22.62
"2021-06-16 16:25:00",106604,1.318,9.13,27.7,23.31,59.49,34.59,2.39,0,22.32
"2021-06-16 16:30:00",106605,1.795,12.45,23.85,23.11,59.8,30.58,2.046,0,22.09
"2021-06-16 16:35:00",106606,1.735,18,22.69,22.89,60.53,21.48,1.699,0,21.89
"2021-06-16 16:40:00",106607,1.658,15.08,21.27,22.57,65.99,16.91,1.352,0,21.63
"2021-06-16 16:45:00",106608,1.605,17.61,17.81,22.05,73.69,12.56,1.109,0,21.38
"2021-06-16 16:50:00",106609,1.687,15.97,22.59,21.65,78.23,8.48,0.853,0,21.17
"2021-06-16 16:55:00",106610,1.725,16.59,21.86,21.36,80.6,4.608,0.583,0,20.97
"2021-06-16 17:00:00",106611,1.902,22.23,16.88,21.17,82.2,1.729,0.381,0,20.78
"2021-06-16 17:05:00",106612,1.868,18.57,33.03,21.02,83.6,0,0.243,0,20.62
"2021-06-16 17:10:00",106613,1.538,28.4,29.25,20.84,84.9,0,0.115,0,20.48
"2021-06-16 17:15:00",106614,2.037,18.87,31.6,20.82,85.9,0,0.054,0,20.4
"2021-06-16 17:20:00",106615,1.94,14.99,20.5,20.85,86.7,0,0,0,20.37
"2021-06-16 17:25:00",106616,1.897,17.51,23.32,20.81,87.5,0,0,0,20.31
"2021-06-16 17:30:00",106617,2.18,24.09,17.1,20.78,88.1,0,0,0,20.25
"2021-06-16 17:35:00",106618,2.982,10.18,20.97,20.81,88.3,0,0,0,20.29
"2021-06-16 17:40:00",106619,2.895,14.22,29.82,20.84,88.5,0,0,0,20.31
"2021-06-16 17:45:00",106620,2.415,8.58,29.07,20.83,88.6,0,0,0,20.29
"2021-06-16 17:50:00",106621,2.215,11.4,34.97,20.73,88.9,0,0,0,20.19
"2021-06-16 17:55:00",106622,2.388,8.94,21.8,20.66,89.2,0,0,0,20.11
"2021-06-16 18:00:00",106623,1.987,11.26,28.28,20.58,89.5,0,0,0,20.03
"2021-06-16 18:05:00",106624,1.965,14.43,22.95,20.52,89.8,0,0,0,19.94
"2021-06-16 18:10:00",106625,1.728,0.084,35.32,20.46,89.9,0,0,0,19.84
"2021-06-16 18:15:00",106626,1.743,2.195,28.89,20.42,90.4,0,0,0,19.75
"2021-06-16 18:20:00",106627,1.745,5.433,24.51,20.36,90.5,0,0,0,19.69
"2021-06-16 18:25:00",106628,1.715,11.59,16.76,20.31,90.7,0,0,0,19.64
"2021-06-16 18:30:00",106629,1.62,15.35,19.7,20.24,91.1,0,0,0,19.57
"2021-06-16 18:35:00",106630,1.657,15.18,22.14,20.22,91,0,0,0,19.54
"2021-06-16 18:40:00",106631,1.145,7.344,29.65,20.16,91.2,0,0,0,19.44
"2021-06-16 18:45:00",106632,1.557,13.99,21.48,20.1,91.4,0,0,0,19.39
"2021-06-16 18:50:00",106633,1.433,14.43,23.53,20.02,91.8,0,0,0,19.29
"2021-06-16 18:55:00",106634,1.363,18.17,25.16,20,91.8,0,0,0,19.25
"2021-06-16 19:00:00",106635,1.753,16.95,22.2,20.04,91.5,0,0,0,19.26
"2021-06-16 19:05:00",106636,1.418,10.57,20.01,20.03,91.5,0,0,0,19.26
"2021-06-16 19:10:00",106637,1.708,16.87,19.64,19.99,91.5,0,0,0,19.21
"2021-06-16 19:15:00",106638,1.963,7.03,22.49,20.05,91.5,0,0,0,19.23
"2021-06-16 19:20:00",106639,1.46,11.29,28.5,20.06,91.5,0,0,0,19.21
"2021-06-16 19:25:00",106640,1.315,13.74,27.49,19.95,91.8,0,0,0,19.14
"2021-06-16 19:30:00",106641,1.038,10.58,18.15,19.86,92.1,0,0,0,19.04
"2021-06-16 19:35:00",106642,1.297,8.32,17.5,19.81,92.3,0,0,0,18.99
"2021-06-16 19:40:00",106643,1.243,11.8,23.86,19.79,92.2,0,0,0,18.95
"2021-06-16 19:45:00",106644,1.113,8.87,18.63,19.77,92.4,0,0,0,18.87
"2021-06-16 19:50:00",106645,1.358,8.65,23.65,19.74,92.5,0,0,0,18.84
