"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-11-09 00:00:00",515,0.879,2.12,37.54,5,21.51,27.96,76.45,100,1211,195.2,50.97,9.58,0.53,7.874,22.07,24.84,0.078
"2021-11-10 00:00:00",516,1.912,168.9,44.17,7.1,17.62,25.8,65.48,99.2,1271,262.7,56.84,13.12,0.862,0,18.27,22.93,0.076
"2021-11-11 00:00:00",517,1.083,110.1,69.62,5,15.66,27.49,45.94,98.1,1344,406,62.7,19.14,1.347,0,16.19,22.94,0.07
"2021-11-12 00:00:00",518,0.934,60.8,25.13,4.7,16.67,28.33,62.3,100,1345,263.5,55.22,12.56,0.808,0,17.66,23.76,0.065
"2021-11-13 00:00:00",519,1.948,14.76,61.33,6.95,20.4,31.59,55.86,97.7,1360,377.5,57.04,17.93,1.173,0,20.91,26.19,0.062
"2021-11-14 00:00:00",520,0.87,80.6,51.43,5.075,19.21,29.16,60.63,99.4,1454,317.6,63.81,15.88,0.995,1.778,20.33,24.77,0.058
"2021-11-15 00:00:00",521,1.035,156.2,33.27,5.525,21.77,27.25,69.89,100,1334,247.7,55.02,11.78,0.715,0,21.79,24.33,0.055
"2021-11-16 00:00:00",522,1.342,22.75,42.89,5.75,20.32,29.2,66.8,98.3,1459,267.9,54.41,12.53,0.831,0,20.87,25.39,0.051
"2021-11-17 00:00:00",523,1.701,75.2,86.1,6.725,21.7,38.05,41.48,100,1036,382.6,43.49,16.1,1.046,0,22.08,27.31,0.047
"2021-11-18 00:00:00",524,1.249,21.96,83.5,4.7,21.45,30.82,58.34,96.8,1397,325.2,54.81,14.67,0.966,0,21.84,26.72,0.041
"2021-11-19 00:00:00",525,2.179,142.3,85.8,8.97,19.24,30.19,54.08,98,1354,377.8,56.23,16.93,1.039,0,19.63,25.71,0.037
"2021-11-20 00:00:00",526,1.143,161.7,46.11,5.525,17.45,27.71,43.74,93.1,1428,391.9,60.68,17.93,1.167,0,17.86,23.37,0.034
"2021-11-21 00:00:00",527,0.607,156.8,48.33,3.5,18.07,24.74,58.54,97.7,715.2,139.5,37.93,7.959,0.497,0.762,18.69,21.42,0.033
"2021-11-22 00:00:00",528,0.86,29.57,30.28,4.925,19.45,25.98,62.42,91.7,716.6,137.8,39.95,8.1,0.533,0,19.35,22.78,0.032
"2021-11-23 00:00:00",529,1.286,7.897,27.86,5.45,20.27,27.1,76.61,99.4,1632,214.6,73.23,11.68,0.676,8.38,20.75,23.03,0.039
"2021-11-24 00:00:00",530,1.116,175.3,53.06,5.9,19.25,28.72,63.24,100,1548,318.2,71.4,16.26,0.931,8.89,19.31,23.37,0.076
"2021-11-25 00:00:00",531,1.653,170.9,45.95,5.6,18.34,27.64,37.84,94.5,1700,396.6,74.13,19.26,1.339,0,18.18,23,0.073
"2021-11-26 00:00:00",532,1.101,165.2,48.87,5.3,17.26,27.28,53.55,98.9,1479,300.1,68.16,15.65,0.977,2.794,17.66,22.12,0.068
"2021-11-27 00:00:00",533,0.478,133.7,35.04,4.175,17.48,23.3,61.54,98.9,593.3,134.8,29.94,8,0.528,0.254,18.3,20.75,0.066
"2021-11-28 00:00:00",534,0.917,38.29,25.17,5.225,17.25,25.04,54.35,89.3,1200,221.4,61.69,12.07,0.853,0,17.43,21.82,0.065
"2021-11-29 00:00:00",535,2.318,359.3,37.02,7.475,18.25,28.01,55.37,94,1282,323.9,60.48,16.38,1.09,0,18.7,23.83,0.062
"2021-11-30 00:00:00",536,1.429,28.51,35.94,6.125,20.45,31.48,50,96.9,1102,409.6,53.9,19.97,1.287,0,20.09,26.14,0.058
"2021-12-01 00:00:00",537,1.62,26.11,26.46,6.65,21.76,30.94,63.68,97.1,1513,369.6,66.14,17.97,1.211,0,22.27,27.03,0.054
"2021-12-02 00:00:00",538,1.229,76.2,64.98,4.85,21.14,29.85,64.49,99,1375,340.4,61.69,16.57,1.185,0,21.44,26.99,0.05
"2021-12-03 00:00:00",539,2.395,16.59,28.45,6.275,22.61,34.47,43.58,98.2,1110,407.5,54.61,19.77,1.433,0,22.74,28.51,0.044
"2021-12-04 00:00:00",540,0.803,150.3,29.64,5.45,21.37,28.64,74,99.8,1335,182.6,61.09,9.56,0.678,0,22.55,25.37,0.039
"2021-12-05 00:00:00",541,1.301,62.41,48.15,5.9,20.57,30.04,67.81,100,1329,338.8,58.45,16.36,1.099,0,21.32,27.12,0.037
"2021-12-06 00:00:00",542,1.043,20.84,21.79,4.625,21.47,29.72,71.99,100,1566,232.9,68.97,12.61,0.687,28.45,22.42,25.64,0.082
"2021-12-07 00:00:00",543,1.211,5.293,49.2,5.975,23.38,34.47,49.81,100,1567,338,66.54,16.46,1.088,0.254,23.88,27.92,0.074
