"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2021-09-13 15:50:00",132229,2.753,57.94,21.65,24.63,73.69,285.7,9.22,0,27.7
"2021-09-13 15:55:00",132230,2.625,66.69,31.22,24.55,74.18,268.4,8.58,0,27.67
"2021-09-13 16:00:00",132231,3.076,82.4,24.62,24.27,75.15,270,8.48,0,27.41
"2021-09-13 16:05:00",132232,2.71,72.25,22.17,24.22,74.56,262.2,8.22,0,27.26
"2021-09-13 16:10:00",132233,2.52,57.53,26.24,24.14,75.71,243,7.636,0,27.11
"2021-09-13 16:15:00",132234,2.59,66.72,21.48,24.19,76.53,237.8,7.585,0,26.97
"2021-09-13 16:20:00",132235,3.332,65.94,14.88,23.64,78.05,224.8,7.251,0,25.68
"2021-09-13 16:25:00",132236,2.328,59.99,21.01,23.5,78.36,206.6,6.84,0,25.32
"2021-09-13 16:30:00",132237,2.153,72.76,17.66,23.56,78.83,190.8,6.435,0,25.06
"2021-09-13 16:35:00",132238,2.438,71.89,19,23.45,79.01,172.9,5.906,0,24.65
"2021-09-13 16:40:00",132239,1.812,51.56,12.38,23.42,79.89,151.5,5.33,0,24.53
"2021-09-13 16:45:00",132240,2.143,48.73,26.95,23.33,80,134,4.834,0,24.56
"2021-09-13 16:50:00",132241,2.475,54.41,20.68,23.02,81.7,118.4,4.349,0,24.21
"2021-09-13 16:55:00",132242,1.925,61.39,19.19,22.91,81.4,101.5,3.85,0,23.95
"2021-09-13 17:00:00",132243,1.75,73.94,24.23,22.79,82.3,81.6,3.381,0,23.61
"2021-09-13 17:05:00",132244,1.257,73.85,22.15,22.65,83.2,51.95,2.882,0,23.37
"2021-09-13 17:10:00",132245,0.976,85.8,18.95,22.49,84.2,37.8,2.431,0,23.23
"2021-09-13 17:15:00",132246,1.378,72.71,16.06,22.3,85.8,32.3,2.013,0,22.99
"2021-09-13 17:20:00",132247,0.594,119.7,28.19,22.16,86.5,25.67,1.625,0,22.88
"2021-09-13 17:25:00",132248,0.529,104.7,28.6,21.98,87.4,19.65,1.254,0,22.68
"2021-09-13 17:30:00",132249,0.218,111.9,4.954,21.83,88.5,13.02,1.005,0,22.53
"2021-09-13 17:35:00",132250,0.348,115.4,31.75,21.65,89.6,6.706,0.705,0,22.32
"2021-09-13 17:40:00",132251,0.454,114.4,35.3,21.47,90.5,2.342,0.445,0,22.1
"2021-09-13 17:45:00",132252,0.558,132.8,22.33,21.33,91.5,0.168,0.243,0,21.92
"2021-09-13 17:50:00",132253,0.469,131.4,34.12,21.22,92.1,0,0.125,0,21.81
"2021-09-13 17:55:00",132254,0.733,137.2,21.31,21.14,92.5,0,0.017,0,21.67
"2021-09-13 18:00:00",132255,0.27,139.4,11.84,21.06,92.7,0,0,0,21.57
"2021-09-13 18:05:00",132256,0.205,144.3,21.94,20.92,93.2,0,0,0,21.44
"2021-09-13 18:10:00",132257,0.545,153.4,17.61,20.77,93.8,0,0,0,21.26
"2021-09-13 18:15:00",132258,0.326,132.6,19.5,20.64,94.2,0,0,0,21.11
"2021-09-13 18:20:00",132259,0.186,153.6,15.23,20.51,94.6,0,0,0,21.03
"2021-09-13 18:25:00",132260,0.583,157.8,15.46,20.4,95,0,0,0,20.85
"2021-09-13 18:30:00",132261,0.429,156.1,12.29,20.29,95.4,0,0,0,20.74
"2021-09-13 18:35:00",132262,0.27,175.3,19.98,20.16,95.6,0,0,0,20.66
"2021-09-13 18:40:00",132263,0.149,166.3,12.44,20.04,95.8,0,0,0,20.55
"2021-09-13 18:45:00",132264,0.153,175.5,20.22,19.92,96.1,0,0,0,20.46
"2021-09-13 18:50:00",132265,0.064,146.7,8.51,19.8,96.3,0,0,0,20.38
"2021-09-13 18:55:00",132266,0.088,140.7,11.04,19.7,96.7,0,0,0,20.32
"2021-09-13 19:00:00",132267,0.033,153.3,2.855,19.6,96.7,0,0,0,20.16
"2021-09-13 19:05:00",132268,0.043,159.5,1.053,19.46,97,0,0,0,20.02
"2021-09-13 19:10:00",132269,0.048,144.8,3.142,19.36,97.4,0,0,0,19.89
"2021-09-13 19:15:00",132270,0.072,153.3,1.582,19.31,97.7,0,0,0,19.74
"2021-09-13 19:20:00",132271,0.068,130.2,9,19.24,97.7,0,0,0,19.69
"2021-09-13 19:25:00",132272,0.031,145.9,0.578,19.15,97.9,0,0,0,19.63
"2021-09-13 19:30:00",132273,0.098,148.3,4.64,19.09,98.2,0,0,0,19.56
"2021-09-13 19:35:00",132274,0.434,152.1,17.03,19.13,98.5,0,0,0,19.54
"2021-09-13 19:40:00",132275,0.154,153.4,4.471,19.12,98.4,0,0,0,19.58
"2021-09-13 19:45:00",132276,0.076,148.3,1.098,19.1,98.7,0,0,0,19.56
"2021-09-13 19:50:00",132277,0.068,161.9,4.344,19.08,98.7,0,0,0,19.46
"2021-09-13 19:55:00",132278,0.069,180.5,13.63,19.03,98.8,0,0,0,19.37
"2021-09-13 20:00:00",132279,0.012,201.3,0,18.99,98.9,0,0,0,19.3
"2021-09-13 20:05:00",132280,0.023,156.6,0.028,18.95,99,0,0,0,19.18
"2021-09-13 20:10:00",132281,0,0,0,18.91,99,0,0,0,19.03
"2021-09-13 20:15:00",132282,0,0,0,18.88,99.1,0,0,0,18.87
"2021-09-13 20:20:00",132283,0,0,0,18.82,99.2,0,0,0,18.67
"2021-09-13 20:25:00",132284,0,0,0,18.8,99.3,0,0,0,18.56
"2021-09-13 20:30:00",132285,0,0,0,18.8,99.3,0,0,0,18.48
"2021-09-13 20:35:00",132286,0,0,0,18.79,99.4,0,0,0,18.38
"2021-09-13 20:40:00",132287,0,0,0,18.76,99.4,0,0,0,18.33
"2021-09-13 20:45:00",132288,0,0,0,18.65,99.5,0,0,0,18.25
"2021-09-13 20:50:00",132289,0,0,0,18.64,99.6,0,0,0,18.19
"2021-09-13 20:55:00",132290,0,0,0,18.65,99.6,0,0,0,18.18
"2021-09-13 21:00:00",132291,0,0,0,18.66,99.7,0,0,0,18.13
"2021-09-13 21:05:00",132292,0,0,0,18.69,99.7,0,0,0,18.22
"2021-09-13 21:10:00",132293,0.009,192,0.004,18.74,99.9,0,0,0,18.51
"2021-09-13 21:15:00",132294,0,0,0,18.91,99.9,0,0,0,18.88
"2021-09-13 21:20:00",132295,0,0,0,18.99,99.9,0,0,0,19.04
"2021-09-13 21:25:00",132296,0,0,0,18.99,99.8,0,0,0,19.1
"2021-09-13 21:30:00",132297,0.021,200.7,0.049,19.01,99.8,0,0,0,19.17
"2021-09-13 21:35:00",132298,0,0,0,19.04,99.7,0,0,0,19.29
"2021-09-13 21:40:00",132299,0.082,209.8,3.109,19.07,99.7,0,0,0,19.33
"2021-09-13 21:45:00",132300,0.018,204.6,0.015,19.17,99.7,0,0,0,19.48
"2021-09-13 21:50:00",132301,0,0,0,19.25,99.6,0,0,0,19.63
"2021-09-13 21:55:00",132302,0,0,0,19.26,99.6,0,0,0,19.72
"2021-09-13 22:00:00",132303,0,0,0,19.26,99.5,0,0,0,19.69
"2021-09-13 22:05:00",132304,0,0,0,19.19,99.4,0,0,0,19.55
"2021-09-13 22:10:00",132305,0,0,0,19.1,99.3,0,0,0,19.29
"2021-09-13 22:15:00",132306,0,0,0,18.98,99.2,0,0,0,19.12
"2021-09-13 22:20:00",132307,0,0,0,18.84,99.2,0,0,0,18.9
"2021-09-13 22:25:00",132308,0,0,0,18.78,99.2,0,0,0,18.71
"2021-09-13 22:30:00",132309,0,0,0,18.65,99.3,0,0,0,18.6
"2021-09-13 22:35:00",132310,0,0,0,18.62,99.3,0,0,0,18.46
"2021-09-13 22:40:00",132311,0,0,0,18.56,99.5,0,0,0,18.36
"2021-09-13 22:45:00",132312,0,0,0,18.66,99.6,0,0,0,18.27
"2021-09-13 22:50:00",132313,0,0,0,18.55,99.4,0,0,0,18.26
"2021-09-13 22:55:00",132314,0,0,0,18.38,99.5,0,0,0,18.16
"2021-09-13 23:00:00",132315,0,0,0,18.26,99.1,0,0,0,18.01
"2021-09-13 23:05:00",132316,0,0,0,18.01,99.1,0,0,0,17.98
"2021-09-13 23:10:00",132317,0,0,0,17.99,99.4,0,0,0,18.08
"2021-09-13 23:15:00",132318,0,0,0,17.98,99.4,0,0,0,18.08
"2021-09-13 23:20:00",132319,0,0,0,17.81,99.3,0,0,0,17.93
"2021-09-13 23:25:00",132320,0,0,0,17.61,99.1,0,0,0,17.69
"2021-09-13 23:30:00",132321,0,0,0,17.34,99.2,0,0,0,17.57
"2021-09-13 23:35:00",132322,0,0,0,17.31,99.4,0,0,0,17.42
"2021-09-13 23:40:00",132323,0,0,0,17.24,99.7,0,0,0,17.23
"2021-09-13 23:45:00",132324,0,0,0,17.24,99.8,0,0,0,17.07
"2021-09-13 23:50:00",132325,0,0,0,17.2,100,0,0,0,16.81
"2021-09-13 23:55:00",132326,0,0,0,17.14,100,0,0,0,16.77
"2021-09-14 00:00:00",132327,0,0,0,16.97,100,0,0,0,16.69
"2021-09-14 00:05:00",132328,0,0,0,16.97,100,0,0,0,16.56
"2021-09-14 00:10:00",132329,0,0,0,16.84,100,0,0,0,16.51
"2021-09-14 00:15:00",132330,0,0,0,16.84,100,0,0,0,16.46
"2021-09-14 00:20:00",132331,0,0,0,16.76,100,0,0,0,16.41
"2021-09-14 00:25:00",132332,0,0,0,16.81,100,0,0,0,16.37
"2021-09-14 00:30:00",132333,0,0,0,16.8,100,0,0,0,16.37
"2021-09-14 00:35:00",132334,0,0,0,16.81,100,0,0,0,16.44
