,"uz_station","location","station","stnd_title","logger_type","logger_title","uz_record_interval_type","uz_record_interval","record_interval_type","record_interval","uz_table_name","table_name"
"1","Mabasa AWS","mcp","mabasa_aws","mcp_mabasa_aws","CR1000X","CR1000","mixed","1_days","mixed","1_days","TableDay","raw_1_days"
"2","Mabasa AWS","mcp","mabasa_aws","mcp_mabasa_aws","CR1000X","CR1000","mixed","1_hours","mixed","1_hours","TableHour","raw_1_hours"
"3","Mabasa AWS","mcp","mabasa_aws","mcp_mabasa_aws","CR1000X","CR1000X","continuous","1_days","continuous","1_days","TableDay","raw_1_days"
"4","Mabasa AWS","mcp","mabasa_aws","mcp_mabasa_aws","CR1000X","CR1000X","continuous","1_hours","continuous","1_hours","TableHour","raw_1_hours"
"5","Station2","mcp","mabasa_aws","mcp_mabasa_aws","CR1000X","CR1000X","continuous","1_days","continuous","1_days","TableDay","raw_1_days"
"6","Station2","mcp","mabasa_aws","mcp_mabasa_aws","CR1000X","CR1000X","continuous","1_hours","continuous","1_hours","TableHour","raw_1_hours"
"7","CR200Series","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_days","continuous","1_days","Daily","raw_1_days"
"8","CR200Series","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_hours","continuous","1_hours","Hourly_","raw_1_hours"
"9","CR200Series","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","5_mins","continuous","5_mins","Five_Minutes","raw_5_mins"
"10","Sibayi","mcp","sibayi_aws","mcp_sibayi_aws","CR300",NA,"continuous","1_days","continuous","1_days","Table2","raw_1_days"
"11","Sibayi","mcp","sibayi_aws","mcp_sibayi_aws","CR300",NA,"continuous","1_hours","continuous","1_hours","Table1","raw_1_hours"
"12","Sibayi","mcp","sibayi_aws","mcp_sibayi_aws","CR300",NA,"continuous","5_mins","continuous","5_mins","Table3","raw_5_mins"
"13","Sibayi AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X","CR200X","continuous","1_days","continuous","1_days","Daily","raw_1_days"
"14","Sibayi AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X","CR200X","continuous","1_hours","continuous","1_hours","Hourly_","raw_1_hours"
"15","Sibayi AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X","CR200X","continuous","5_mins","continuous","5_mins","Five_Minutes","raw_5_mins"
"16","Sibayi AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","discnt","continuous","discnt","Daily","raw_1_days"
"17","Sibayi Camp Mini AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_days","continuous","1_days","Daily","raw_1_days"
"18","Sibayi Camp Mini AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_hours","continuous","1_hours","Hourly_","raw_1_hours"
"19","Sibayi Camp Mini AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","5_mins","continuous","5_mins","Five_Minutes","raw_5_mins"
"20","Sibayi Camp Mini AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"mixed","1_days","mixed","1_days","Daily","raw_1_days"
"21","Sibayi Mini AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_days","continuous","1_days","Daily","raw_1_days"
"22","Sibayi Mini AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_hours","continuous","1_hours","Hourly_","raw_1_hours"
"23","Sibayi Mini AWS","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","5_mins","continuous","5_mins","Five_Minutes","raw_5_mins"
"24","Sibayi Mini Station","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_days","continuous","1_days","Daily","raw_1_days"
"25","Sibayi Mini Station","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","1_hours","continuous","1_hours","Hourly_","raw_1_hours"
"26","Sibayi Mini Station","mcp","sibayi_aws","mcp_sibayi_aws","CR200X",NA,"continuous","5_mins","continuous","5_mins","Five_Minutes","raw_5_mins"
"27","84923","mcp","vasi_science_centre_aws","mcp_vasi_science_centre_aws","CR1000","CR1000","continuous","1_days","continuous","1_days","Daily","raw_1_days"
"28","84923","mcp","vasi_science_centre_aws","mcp_vasi_science_centre_aws","CR1000","CR1000","continuous","1_hours","continuous","1_hours","Hourly","raw_1_hours"
"29","84923","mcp","vasi_science_centre_aws","mcp_vasi_science_centre_aws","CR1000","CR1000","continuous","5_mins","continuous","5_mins","Five_mins","raw_5_mins"
"30","88296","mcp","vasi_science_centre_aws","mcp_vasi_science_centre_aws","CR1000","CR1000","continuous","1_days","continuous","1_days","Daily","raw_1_days"
"31","88296","mcp","vasi_science_centre_aws","mcp_vasi_science_centre_aws","CR1000","CR1000","continuous","1_hours","continuous","1_hours","Hourly","raw_1_hours"
"32","88296","mcp","vasi_science_centre_aws","mcp_vasi_science_centre_aws","CR1000","CR1000","continuous","5_mins","continuous","5_mins","Five_mins","raw_5_mins"
"33","CR1000 - Vasi_Science Centre AWS","mcp","vasi_science_centre_aws","mcp_vasi_science_centre_aws","CR1000","CR1000","continuous","1_days","continuous","1_days","Daily","raw_1_days"
