"TOA5","88296","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2020-06-11 13:00:00",0,14.22,100.2148,3.792,334.9,28.75,30.93,38.24,571.6,23.96,0,32.34,32.56,0
"2020-06-11 14:00:00",1,14.32,100.1009,3.412,331,26.22,31.57,34.13,468.1,19.19,0,32.68,32.77,0.001
"2020-06-11 15:00:00",2,13.68,100.0688,2.816,343.4,35.29,31.87,33.03,363.6,14.57,0,32.57,32.9,0
"2020-06-11 16:00:00",3,13.76,100.0601,2.107,347.4,33.46,31.44,33.99,193.2,7.213,0,30.04,31.53,0
"2020-06-11 17:00:00",4,12.99,100.118,1.303,2.787,29.53,28.14,58.39,32.14,1.849,0,25.26,27.37,0.032
"2020-06-11 18:00:00",5,12.92,100.1674,0.962,6.266,24.72,25.29,63.61,0,0.029,0,23.4,24.07,0.032
"2020-06-11 19:00:00",6,12.95,100.2557,0.213,358,16.82,23.49,70.82,0,0,0,21.2,22,0.032
"2020-06-11 20:00:00",7,12.94,100.4347,0.641,289.1,39.88,23.27,64.2,0,0,0,20.19,21.36,0.032
"2020-06-11 21:00:00",8,12.9,100.5402,1.197,184.7,43.07,23.44,74.2,0,0,0,21.99,22.88,0.031
"2020-06-11 22:00:00",9,12.88,100.6869,1.038,174.2,45.63,21.73,77.07,0,0,0,20.58,21.3,0.032
"2020-06-11 23:00:00",10,12.85,100.7587,1.086,176.5,44.74,21.15,65.52,0,0,0,20.43,20.59,0.031
"2020-06-12 00:00:00",11,12.87,100.8087,1.041,192.1,39.94,20.58,62.06,0,0,0,19.2,19.94,0.031
"2020-06-12 01:00:00",12,12.83,100.898,0.944,177.5,44.65,19.6,80.3,0,0,0,18.29,19.03,0.031
"2020-06-12 02:00:00",13,12.82,100.9386,0.657,175.4,36.57,17.82,75.56,0,0,0,16.02,17.26,0.031
"2020-06-12 03:00:00",14,12.76,100.9732,0.201,205.3,15.56,15.24,67.89,0,0,0,12.43,13.64,0.031
"2020-06-12 04:00:00",15,12.72,101.0451,0.275,228.4,18.54,13.93,62.9,0,0,0,10.44,11.46,0.031
"2020-06-12 05:00:00",16,12.74,101.0776,0.296,225,14.49,12.3,49.23,0,0,0,8.34,9.53,0.031
"2020-06-12 06:00:00",17,12.7,101.167,0.267,221.7,25.8,12.19,52.06,0,0,0,7.538,8.52,0.031
"2020-06-12 07:00:00",18,12.72,101.2888,0.078,215.6,12.43,10.29,44.06,3.502,0.335,0,6.262,6.904,0.031
"2020-06-12 08:00:00",19,12.73,101.4187,0.538,222.2,26.55,13.92,38.26,103.9,4.152,0,7.559,12.01,0.031
