"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2021-11-08 13:00:00",148323,1.805,325,25.57,26.68,83.2,240.9,14.27,0,27.78
"2021-11-08 13:05:00",148324,1.993,319.8,27.02,26.63,83.1,255.4,15.13,0,27.7
"2021-11-08 13:10:00",148325,2.235,320.4,29.8,26.48,83,238,14.2,0,27.49
"2021-11-08 13:15:00",148326,2.505,313.1,31.41,26.38,82.8,277.9,13.92,0,27.38
"2021-11-08 13:20:00",148327,2.57,321.5,39.26,26.45,82.9,340.2,18.88,0,27.52
"2021-11-08 13:25:00",148328,1.765,325.1,27.25,26.49,83,193.9,10.93,0,27.49
"2021-11-08 13:30:00",148329,1.845,331.8,21.99,26.31,83.3,154.2,9.6,0,27.22
"2021-11-08 13:35:00",148330,1.598,328.3,28.28,26.24,83.8,112.3,7.319,0,27.01
"2021-11-08 13:40:00",148331,1.2,327.9,27.38,26.21,84.2,90.7,6.044,0,26.84
"2021-11-08 13:45:00",148332,1.362,332,35.09,26.11,83.6,83.5,5.515,0,26.66
"2021-11-08 13:50:00",148333,1.913,325.1,26.32,25.98,82.3,81.9,5.451,0,26.43
"2021-11-08 13:55:00",148334,0.71,333.3,34.15,26.14,83.7,79.61,5.279,0,26.31
"2021-11-08 14:00:00",148335,1.392,320.2,35.63,25.94,84.4,75.45,5.057,0,26.26
"2021-11-08 14:05:00",148336,1.099,327.6,29.01,25.75,84.4,60.57,4.237,0,26.14
"2021-11-08 14:10:00",148337,1.405,319.6,37.34,24.94,87.5,56.98,3.995,0,25.97
"2021-11-08 14:15:00",148338,0.947,320.2,23.92,25.23,86.5,49.7,3.476,0,25.84
"2021-11-08 14:20:00",148339,0.914,330,17.18,25.31,86.3,45.11,3.209,0,25.74
"2021-11-08 14:25:00",148340,0.605,318.5,23.86,25.3,86.5,51.83,3.621,0,25.7
"2021-11-08 14:30:00",148341,0.397,334.5,16.37,25.3,86.6,59.22,3.995,0,25.7
"2021-11-08 14:35:00",148342,0.513,346.9,20.03,25.3,86.6,66.38,4.443,0,25.72
"2021-11-08 14:40:00",148343,0.849,345.5,31.44,25.37,85.6,106.1,6.759,0,25.79
"2021-11-08 14:45:00",148344,0.887,355.6,18.79,25.52,84.6,125.1,7.7,0,25.91
"2021-11-08 14:50:00",148345,0.893,7.203,26.05,25.59,84.8,108.8,6.709,0,26.03
"2021-11-08 14:55:00",148346,0.513,15.64,21.57,25.56,85.2,72.33,4.75,0,26.07
"2021-11-08 15:00:00",148347,0.77,310.9,19.81,25.45,86.1,55.97,3.83,0,26
"2021-11-08 15:05:00",148348,0.417,305.1,12.5,25.33,86.3,72.01,4.733,0,25.91
"2021-11-08 15:10:00",148349,0.547,293.9,32.74,25.33,85.8,74.32,4.821,0,25.85
"2021-11-08 15:15:00",148350,0.565,324.1,13.06,25.32,86.7,49.23,3.361,0,25.87
"2021-11-08 15:20:00",148351,0.695,313.7,18.97,25.18,87.2,43.32,3.041,0,25.74
"2021-11-08 15:25:00",148352,0.587,329.9,19.42,25.11,88.2,51.78,3.489,0,25.67
"2021-11-08 15:30:00",148353,0.472,291.1,19.31,25.06,88.9,47.57,3.182,0,25.63
"2021-11-08 15:35:00",148354,0.293,302.9,17.42,25.01,88.9,36.02,2.488,0,25.6
"2021-11-08 15:40:00",148355,0.511,325,23.52,24.96,88.9,32.51,2.228,0,25.56
"2021-11-08 15:45:00",148356,0.081,309,1.702,24.91,89.3,37.64,2.566,0,25.47
"2021-11-08 15:50:00",148357,0.418,327.3,13.24,24.89,89.3,47.07,3.038,0,25.45
"2021-11-08 15:55:00",148358,0.401,322.3,13.79,24.91,89.5,49.19,3.149,0,25.43
"2021-11-08 16:00:00",148359,0.048,332.5,0.994,24.95,89.3,53.65,3.365,0,25.48
"2021-11-08 16:05:00",148360,0.137,311.4,9.67,25.01,89.4,67.59,4.086,0,25.5
"2021-11-08 16:10:00",148361,0.093,339.9,4.136,25.07,89.2,95.6,5.492,0,25.57
"2021-11-08 16:15:00",148362,0.574,350.4,39.28,25.19,88.6,120.5,6.665,0,25.68
"2021-11-08 16:20:00",148363,0.901,10.22,21.79,25.33,87.6,103.1,5.755,0,25.76
"2021-11-08 16:25:00",148364,0.68,10.93,14.84,25.35,87.5,83.9,4.75,0,25.81
"2021-11-08 16:30:00",148365,0.995,24.56,20.8,25.33,87.8,69.34,3.995,0,25.79
"2021-11-08 16:35:00",148366,0.804,10.54,14.91,25.29,86.6,54,3.196,0,25.81
"2021-11-08 16:40:00",148367,0.936,358.1,29.41,25.22,87,40.15,2.478,0,25.69
"2021-11-08 16:45:00",148368,0.738,0.207,19.12,25.12,87.7,31.58,2.043,0,25.56
"2021-11-08 16:50:00",148369,0.578,4.211,14.35,25.04,88.2,29.73,1.851,0,25.55
"2021-11-08 16:55:00",148370,0.618,10.81,10.39,24.97,88.9,30.8,1.821,0,25.47
"2021-11-08 17:00:00",148371,0.627,19.63,14.12,24.91,89.1,30.96,1.851,0,25.41
"2021-11-08 17:05:00",148372,0.7,14.41,15.58,24.86,89.9,24.11,1.665,0,25.37
"2021-11-08 17:10:00",148373,0.632,17.87,10.65,24.78,90.2,17.37,1.355,0,25.3
"2021-11-08 17:15:00",148374,0.488,19.35,10.5,24.71,90.9,18.3,1.227,0,25.22
"2021-11-08 17:20:00",148375,0.331,15.71,10.6,24.64,91.1,17.25,1.119,0,25.17
"2021-11-08 17:25:00",148376,0.503,13.88,13.02,24.59,91.7,10.26,0.748,0,25.09
"2021-11-08 17:30:00",148377,0.392,6.71,7.171,24.51,91.8,6.303,0.533,0,25.06
"2021-11-08 17:35:00",148378,0.159,10.33,4.252,24.47,92.5,7.772,0.624,0,25.01
"2021-11-08 17:40:00",148379,0.337,16.53,5.781,24.4,92.8,7.487,0.58,0,24.94
"2021-11-08 17:45:00",148380,0.077,20.92,2.954,24.37,92.9,5.783,0.475,0,24.88
"2021-11-08 17:50:00",148381,0.026,331.4,0.005,24.33,93,4.776,0.405,0,24.82
"2021-11-08 17:55:00",148382,0,0,0,24.28,93.4,2.854,0.334,0,24.74
"2021-11-08 18:00:00",148383,0,0,0,24.22,93.9,0.462,0.165,0,24.71
"2021-11-08 18:05:00",148384,0,0,0,24.15,94.2,0,0.101,0,24.67
"2021-11-08 18:10:00",148385,0,0,0,24.11,94.4,0,0.078,0,24.66
"2021-11-08 18:15:00",148386,0,0,0,24.06,94.6,0,0,0,24.61
"2021-11-08 18:20:00",148387,0,0,0,24.02,94.7,0,0,0,24.54
"2021-11-08 18:25:00",148388,0,0,0,23.93,95.2,0,0,0,24.49
"2021-11-08 18:30:00",148389,0,0,0,23.88,95.4,0,0,0,24.47
"2021-11-08 18:35:00",148390,0,0,0,23.85,95.5,0,0,0,24.43
"2021-11-08 18:40:00",148391,0,0,0,23.8,95.6,0,0,0,24.38
"2021-11-08 18:45:00",148392,0,0,0,23.75,95.8,0,0,0,24.38
"2021-11-08 18:50:00",148393,0,0,0,23.71,96,0,0,0,24.37
"2021-11-08 18:55:00",148394,0,0,0,23.65,96.3,0,0,0,24.32
"2021-11-08 19:00:00",148395,0,0,0,23.68,96.3,0,0,0,24.32
"2021-11-08 19:05:00",148396,0,0,0,23.68,96.2,0,0,0,24.28
"2021-11-08 19:10:00",148397,0,0,0,23.64,96.4,0,0,0,24.23
"2021-11-08 19:15:00",148398,0,0,0,23.63,96.6,0,0,0,24.21
"2021-11-08 19:20:00",148399,0,0,0,23.58,97,0,0,0,24.21
"2021-11-08 19:25:00",148400,0,0,0,23.64,97.3,0,0,0,24.23
"2021-11-08 19:30:00",148401,0.041,66.56,0.934,23.67,97.1,0,0,0,24.23
"2021-11-08 19:35:00",148402,0.113,60.53,3.148,23.65,96.9,0,0,0,24.18
"2021-11-08 19:40:00",148403,0,0,0,23.64,96.9,0,0,0,24.14
"2021-11-08 19:45:00",148404,0,0,0,23.64,96.9,0,0,0,24.1
"2021-11-08 19:50:00",148405,0,0,0,23.64,97,0,0,0,24.08
"2021-11-08 19:55:00",148406,0,0,0,23.61,97.2,0,0,0,24.08
"2021-11-08 20:00:00",148407,0.258,26.02,4.739,23.57,97.2,0,0,0,24.02
"2021-11-08 20:05:00",148408,0.448,28.87,13.27,23.58,97.3,0,0,0,23.99
"2021-11-08 20:10:00",148409,0.537,18.46,14.26,23.63,97.2,0,0,0,23.99
"2021-11-08 20:15:00",148410,1.081,28.73,20.22,23.69,97.2,0,0,0,23.96
"2021-11-08 20:20:00",148411,1.247,44.66,12.89,23.73,97.4,0,0,0,23.94
"2021-11-08 20:25:00",148412,1.755,36.03,14.11,23.79,97.1,0,0,0,23.93
"2021-11-08 20:30:00",148413,1.505,45.82,22.88,23.85,97.1,0,0,0,23.92
"2021-11-08 20:35:00",148414,1.255,37.69,25.25,23.89,97.2,0,0,0,23.95
"2021-11-08 20:40:00",148415,2.313,49.17,18.54,23.92,97.4,0,0,0,23.98
"2021-11-08 20:45:00",148416,1.938,49.82,25.59,23.89,97.7,0,0,0,23.98
"2021-11-08 20:50:00",148417,1.613,39.24,23.21,23.87,97.8,0,0,0,23.98
"2021-11-08 20:55:00",148418,0.892,40.01,20.26,23.86,97.8,0,0,0,23.98
"2021-11-08 21:00:00",148419,0.612,22.67,27.66,23.87,97.7,0,0,0,23.99
"2021-11-08 21:05:00",148420,0.618,14.68,32.53,23.87,97.5,0,0,0,23.98
"2021-11-08 21:10:00",148421,0.893,40.74,17.67,23.85,97.6,0,0,0,23.95
