"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2022-04-13 00:00:00",670,0.48,359.9,21.5,3.875,16.4,31.76,45.41,100,856,313.2,40.86,15.13,0.969,0,16.53,23.86,0.079
"2022-04-14 00:00:00",671,0.808,13.48,23.31,5.45,20.36,34.01,46.86,100,927,294.6,42.88,13.99,0.831,0,20.36,26.26,0.072
"2022-04-15 00:00:00",672,0.486,102.7,30.12,3.875,19.2,30.54,54.74,100,813,303.4,40.86,14.96,0.946,0,19.68,24.82,0.067
"2022-04-16 00:00:00",673,1.115,65.05,61.05,7.55,18.85,32.22,57.42,100,876,296.8,39.24,14.15,0.896,1.27,19.95,25.99,0.063
"2022-04-17 00:00:00",674,1.614,191.4,19.63,5.75,17.56,21.67,93.5,100,932,99,46.84,5.656,0.258,34.04,18.21,19.46,0.088
"2022-04-18 00:00:00",675,0.533,197.9,12.51,3.425,17.02,22.93,80.9,100,635.9,103.7,31.87,6.143,0.337,20.83,17.87,19.44,0.097
"2022-04-19 00:00:00",676,0.519,192.4,13.13,3.575,17.42,18.9,100,100,159.4,33.23,10.93,2.311,0.122,67.56,17.88,18.48,0.109
"2022-04-20 00:00:00",677,0.816,188.9,23.29,5.075,16.58,25.5,65,100,1113,233.8,49.27,11.37,0.633,5.334,16.85,19.78,0.091
"2022-04-21 00:00:00",678,0.676,180.8,27.61,3.725,16.28,26.99,56.37,99.1,1047,285,45.51,13.27,0.778,0,16.41,20.8,0.078
"2022-04-22 00:00:00",679,0.756,79.24,50.2,4.4,15.51,27.75,57.52,100,1082,302.5,45.92,14.17,0.889,0,16.59,22.08,0.072
"2022-04-23 00:00:00",680,0.781,17.64,14.51,5,16.02,29.04,56.9,100,1052,300.1,45.52,14.05,0.87,0,16.67,22.95,0.069
"2022-04-24 00:00:00",681,0.413,143.5,54.16,3.275,18.93,29.68,61.39,100,894,248.4,40.05,11.86,0.684,0,19.36,23.52,0.066
"2022-04-25 00:00:00",682,0.77,17.24,34.48,4.925,17.93,32.29,54.92,100,757.2,282,37.12,13.55,0.847,0,18.41,25.04,0.063
"2022-04-26 00:00:00",683,1.16,160.2,38.13,6.35,19.34,24.82,77.82,100,931,117.9,36.82,6.705,0.376,0,19.65,21.85,0.06
"2022-04-27 00:00:00",684,1.322,184.5,27.54,5.15,15.2,25.63,57.55,93.2,833,274.1,37.73,13.22,0.801,0,15.61,20.34,0.058
"2022-04-28 00:00:00",685,1.025,186,23.27,4.7,15.05,25.78,56.24,98.2,967,278.8,42.68,13.08,0.812,0,15.46,19.79,0.054
"2022-04-29 00:00:00",686,0.906,311.6,78.6,4.625,15.08,26.12,61.06,100,981,278.7,41.77,12.73,0.778,0,15.7,21.04,0.051
"2022-04-30 00:00:00",687,0.975,5.54,18.33,6.275,13.3,28.04,54.05,100,768.8,284.4,36.41,13.25,0.826,0,14.14,21.35,0.048
"2022-05-01 00:00:00",688,1.025,194.2,33.48,5.6,16.63,26.87,65.18,100,1003,241.8,42.18,11.35,0.622,0.508,16.99,20.8,0.045
"2022-05-02 00:00:00",689,0.755,190,24.19,4.1,15.62,27.46,58.66,100,908,277.7,39.65,13.12,0.81,0.254,15.86,20.32,0.042
"2022-05-03 00:00:00",690,0.785,191.9,24.77,3.65,14.49,27.89,50.06,99.2,896,277,39.04,13.16,0.814,0,14.32,20.41,0.04
"2022-05-04 00:00:00",691,0.688,58.29,59.91,5.075,15.9,27.36,60.3,100,931,278.4,39.85,12.93,0.796,0,16.49,22.04,0.038
"2022-05-05 00:00:00",692,0.547,56.29,39.93,4.625,14.32,28.87,52.4,100,903,260.7,39.35,12.08,0.735,0,15.23,21.94,0.036
"2022-05-06 00:00:00",693,0.406,132.6,43.11,4.325,16,28.07,56.64,100,876,220.1,40.05,10.84,0.674,0,16.28,21.92,0.035
"2022-05-07 00:00:00",694,0.45,38.9,46.66,3.65,16.22,31.14,44.49,100,729.2,270,35.4,12.93,0.802,0,16.12,22.54,0.034
"2022-05-08 00:00:00",695,0.5,4.937,26.12,3.8,14.53,30.92,41.56,100,724.2,268.9,34.39,12.47,0.769,0,14.56,22.03,0.033
"2022-05-09 00:00:00",696,0.707,181.3,23.39,4.1,15.03,26.98,71.21,100,839,202.5,30.65,8.95,0.521,0,15.13,20.45,0.032
"2022-05-10 00:00:00",697,0.69,191.3,30.79,3.725,14.55,28,51.93,98.9,707.6,263.6,34.49,12.52,0.771,0,14.94,20.37,0.032
"2022-05-11 00:00:00",698,0.519,198,36.94,3.65,15.04,28.49,47.05,100,709.6,262.4,34.39,12.46,0.768,0,14.92,20.26,0.031
