"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2022-05-11 14:40:00",201335,1.718,7.935,24.58,28.62,54.94,427.8,18.56,0,32.02
"2022-05-11 14:45:00",201336,0.969,1.236,22.83,28.96,56.24,393,17.65,0,32.22
"2022-05-11 14:50:00",201337,1.542,10.56,34.05,28.9,56,399,17.19,0,32.14
"2022-05-11 14:55:00",201338,1.393,352,38.97,28.69,55.36,384.5,16.48,0,31.93
"2022-05-11 15:00:00",201339,1.252,347.2,39.33,28.57,55.94,366.4,15.68,0,31.72
"2022-05-11 15:05:00",201340,1.22,5.745,23.83,28.5,57.9,350.1,14.93,0,31.55
"2022-05-11 15:10:00",201341,1.492,22.34,21.27,28.24,58.85,336.7,14.25,0,31.21
"2022-05-11 15:15:00",201342,0.677,6.321,22.06,28.6,56.6,317.7,13.46,0,31.04
"2022-05-11 15:20:00",201343,0.967,30.01,17.35,28.69,58.22,306,12.88,0,31.04
"2022-05-11 15:25:00",201344,1.104,0.783,28.19,28.64,57.96,290.1,12.21,0,30.95
"2022-05-11 15:30:00",201345,1.113,22.03,24.84,28.28,58.7,272.2,11.49,0,30.66
"2022-05-11 15:35:00",201346,1.345,18.91,23.97,28.06,59.75,257.5,10.82,0,30.37
"2022-05-11 15:40:00",201347,1.199,27.21,19.91,28,60.73,241.4,10.1,0,30.08
"2022-05-11 15:45:00",201348,1.295,24.56,24.96,27.78,61.17,225.4,9.38,0,29.51
"2022-05-11 15:50:00",201349,1.24,20.07,22.46,27.59,68.86,207.8,8.61,0,28.85
"2022-05-11 15:55:00",201350,1.613,32.2,21,26.9,71.76,191.8,7.886,0,28.23
"2022-05-11 16:00:00",201351,1.653,41.58,17.68,26.18,73.54,175,7.161,0,27.49
"2022-05-11 16:05:00",201352,1.323,36.38,14.9,26.05,73.75,158.3,6.483,0,27
"2022-05-11 16:10:00",201353,1.418,35.47,24.57,25.73,75.65,141,5.813,0,26.51
"2022-05-11 16:15:00",201354,1.175,40.69,17.17,25.44,76.92,68.5,5.094,0,26.14
"2022-05-11 16:20:00",201355,1.157,20.86,21.89,25.04,78.64,44.49,4.437,0,25.79
"2022-05-11 16:25:00",201356,1.378,29.06,18.3,24.69,80.1,37.14,3.921,0,25.37
"2022-05-11 16:30:00",201357,1.183,32.81,20.71,24.45,81.4,33.23,3.463,0,25.07
"2022-05-11 16:35:00",201358,1.268,27.89,19.68,24.22,82.3,30.19,2.97,0,24.8
"2022-05-11 16:40:00",201359,0.889,31.07,15.41,24.02,83.3,26.51,2.519,0,24.57
"2022-05-11 16:45:00",201360,1.225,32.81,19.92,23.79,84.1,22.56,2.091,0,24.38
"2022-05-11 16:50:00",201361,1.025,28.65,18.89,23.61,85.1,17.84,1.676,0,24.13
"2022-05-11 16:55:00",201362,1.132,20.5,17.98,23.36,85.9,13.57,1.288,0,23.93
"2022-05-11 17:00:00",201363,0.839,29.59,14.09,23.17,87,9.55,1.032,0,23.77
"2022-05-11 17:05:00",201364,0.732,33.59,10.72,22.92,88,5.952,0.735,0,23.63
"2022-05-11 17:10:00",201365,0.602,25.47,10.65,22.68,89,2.074,0.479,0,23.48
"2022-05-11 17:15:00",201366,0.839,33.2,10.72,22.48,89.6,0.059,0.273,0,23.29
"2022-05-11 17:20:00",201367,0.687,33.19,11.09,22.34,90.2,0,0.145,0,23.03
"2022-05-11 17:25:00",201368,0.803,31.86,13.74,22.19,90.9,0,0.034,0,22.81
"2022-05-11 17:30:00",201369,0.405,25.9,12.34,22.06,91.4,0,0,0,22.64
"2022-05-11 17:35:00",201370,0.527,27.73,9.7,21.9,91.8,0,0,0,22.46
"2022-05-11 17:40:00",201371,0.434,30.8,8.83,21.8,92.3,0,0,0,22.33
"2022-05-11 17:45:00",201372,0,0,0,21.63,93.1,0,0,0,22.24
"2022-05-11 17:50:00",201373,0.093,16.51,0.559,21.45,93.8,0,0,0,22.01
"2022-05-11 17:55:00",201374,0.07,29.63,1.382,21.33,94.5,0,0,0,21.73
"2022-05-11 18:00:00",201375,0.028,23.33,0.383,21.21,94.8,0,0,0,21.49
"2022-05-11 18:05:00",201376,0,0,0,21.07,95.3,0,0,0,21.17
"2022-05-11 18:10:00",201377,0,0,0,20.92,96,0,0,0,20.86
"2022-05-11 18:15:00",201378,0,0,0,20.81,96.3,0,0,0,20.56
"2022-05-11 18:20:00",201379,0,0,0,20.71,96.9,0,0,0,20.32
"2022-05-11 18:25:00",201380,0,0,0,20.61,96.9,0,0,0,20.11
"2022-05-11 18:30:00",201381,0,0,0,20.43,97.2,0,0,0,19.98
"2022-05-11 18:35:00",201382,0,0,0,20.35,97.4,0,0,0,19.85
"2022-05-11 18:40:00",201383,0,0,0,20.2,97.9,0,0,0,19.76
"2022-05-11 18:45:00",201384,0,0,0,19.97,97.7,0,0,0,19.64
"2022-05-11 18:50:00",201385,0,0,0,19.94,98.3,0,0,0,19.52
"2022-05-11 18:55:00",201386,0,0,0,19.83,98.8,0,0,0,19.42
"2022-05-11 19:00:00",201387,0,0,0,20.11,99.1,0,0,0,19.28
"2022-05-11 19:05:00",201388,0,0,0,20.17,99.2,0,0,0,19.14
"2022-05-11 19:10:00",201389,0,0,0,20.36,99.1,0,0,0,19.01
"2022-05-11 19:15:00",201390,0,0,0,20.25,99.1,0,0,0,18.94
"2022-05-11 19:20:00",201391,0,0,0,20.22,99.3,0,0,0,18.82
"2022-05-11 19:25:00",201392,0,0,0,20.38,99.2,0,0,0,18.74
"2022-05-11 19:30:00",201393,0,0,0,20.38,99,0,0,0,18.7
"2022-05-11 19:35:00",201394,0,0,0,20.27,99.2,0,0,0,18.58
"2022-05-11 19:40:00",201395,0,0,0,20.15,99.2,0,0,0,18.48
"2022-05-11 19:45:00",201396,0,0,0,19.95,99.1,0,0,0,18.39
"2022-05-11 19:50:00",201397,0,0,0,19.78,99.4,0,0,0,18.31
"2022-05-11 19:55:00",201398,0,0,0,20.02,99.9,0,0,0,18.22
"2022-05-11 20:00:00",201399,0,0,0,20.25,99.6,0,0,0,18.19
"2022-05-11 20:05:00",201400,0,0,0,20.02,99.7,0,0,0,18.18
"2022-05-11 20:10:00",201401,0,0,0,20,99.8,0,0,0,18.14
"2022-05-11 20:15:00",201402,0,0,0,20.01,99.5,0,0,0,18.13
"2022-05-11 20:20:00",201403,0,0,0,19.9,99.5,0,0,0,18.13
"2022-05-11 20:25:00",201404,0,0,0,19.49,99.8,0,0,0,18.22
"2022-05-11 20:30:00",201405,0,0,0,19.67,99.9,0,0,0,18.2
"2022-05-11 20:35:00",201406,0,0,0,19.78,100,0,0,0,18.09
"2022-05-11 20:40:00",201407,0,0,0,19.82,100,0,0,0,18.02
"2022-05-11 20:45:00",201408,0,0,0,19.83,100,0,0,0,17.97
"2022-05-11 20:50:00",201409,0.269,286.8,36.9,19.98,100,0,0,0,17.93
"2022-05-11 20:55:00",201410,1.067,212.4,22.45,19.92,100,0,0,0,18.31
"2022-05-11 21:00:00",201411,0.828,236.9,46.81,20.52,99.8,0,0,0,19.27
"2022-05-11 21:05:00",201412,0.995,218.7,27.38,20.85,98.3,0,0,0,19.92
"2022-05-11 21:10:00",201413,0.627,211.1,8.62,20.91,97.7,0,0,0,20.3
"2022-05-11 21:15:00",201414,0.538,215.3,8.77,20.91,97.4,0,0,0,20.42
"2022-05-11 21:20:00",201415,1.218,210.6,18.05,20.87,95.1,0,0,0,20.42
"2022-05-11 21:25:00",201416,0.725,196.3,14.8,20.85,94.3,0,0,0,20.35
"2022-05-11 21:30:00",201417,0.821,207.8,24.11,20.72,93.2,0,0,0,20.3
"2022-05-11 21:35:00",201418,0.694,216.8,16.78,20.62,92.3,0,0,0,20.18
"2022-05-11 21:40:00",201419,0.641,211.2,15.01,20.54,92.1,0,0,0,20.08
"2022-05-11 21:45:00",201420,0.945,205,26.75,20.48,91.4,0,0,0,20
"2022-05-11 21:50:00",201421,0.613,208.9,20.86,20.46,91.2,0,0,0,19.97
"2022-05-11 21:55:00",201422,0.911,207.9,18.28,20.42,90.7,0,0,0,19.91
"2022-05-11 22:00:00",201423,0.908,212,20.28,20.37,91,0,0,0,19.85
"2022-05-11 22:05:00",201424,0.913,202.3,15.65,20.35,90.9,0,0,0,19.83
"2022-05-11 22:10:00",201425,0.827,207.1,9.59,20.29,91.2,0,0,0,19.81
"2022-05-11 22:15:00",201426,0.839,195.7,19.02,20.18,91.9,0,0,0,19.73
"2022-05-11 22:20:00",201427,0.724,206.6,19.54,20.07,92.3,0,0,0,19.65
"2022-05-11 22:25:00",201428,1.132,204,16.12,20.06,92.2,0,0,0,19.59
"2022-05-11 22:30:00",201429,0.719,202.8,20.52,20.03,92.6,0,0,0,19.57
"2022-05-11 22:35:00",201430,0.583,216.2,14.12,19.92,92.9,0,0,0,19.54
"2022-05-11 22:40:00",201431,0.447,218.6,11.49,19.83,93.4,0,0,0,19.51
"2022-05-11 22:45:00",201432,0.483,231.7,14.9,19.78,93.5,0,0,0,19.48
"2022-05-11 22:50:00",201433,0.413,219.1,6.182,19.69,93.8,0,0,0,19.43
"2022-05-11 22:55:00",201434,0.27,207.8,4.661,19.62,94.1,0,0,0,19.4
"2022-05-11 23:00:00",201435,0.212,186.2,10.31,19.52,94.4,0,0,0,19.38
"2022-05-11 23:05:00",201436,0.444,197.6,6.043,19.48,94.7,0,0,0,19.32
"2022-05-11 23:10:00",201437,0.476,195.9,11.16,19.43,95,0,0,0,19.26
"2022-05-11 23:15:00",201438,0.238,192.7,12.09,19.31,95.5,0,0,0,19.21
