"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2022-05-11 15:00:00",16778,14.14,100.6159,1.561,6.08,33.09,28.6,55.94,441.7,19.39,0,31.65,32.14,0.031
"2022-05-11 16:00:00",16779,13.5,100.6729,1.243,21.55,24.97,27.95,73.54,264.3,11.1,0,27.25,30.08,0.031
"2022-05-11 17:00:00",16780,13,100.7677,1.168,30.47,19.64,24.46,87,50.24,3.399,0,23.7,25.12,0.031
"2022-05-11 18:00:00",16781,12.97,100.8248,0.435,29.94,9.49,22,94.8,0.674,0.139,0,21.35,22.59,0.031
"2022-05-11 19:00:00",16782,12.94,100.9621,0,0,0,20.41,99.1,0,0,0,19.19,20.04,0.031
"2022-05-11 20:00:00",16783,12.93,101.0198,0,0,0,20.18,99.6,0,0,0,18.17,18.63,0.031
"2022-05-11 21:00:00",16784,12.91,101.1334,0.18,228.4,20.21,19.91,99.8,0,0,0,17.88,18.22,0.031
"2022-05-11 22:00:00",16785,12.9,101.1902,0.803,210,19.86,20.67,91,0,0,0,19.57,20.14,0.031
"2022-05-11 23:00:00",16786,12.89,101.2227,0.63,207.8,16.81,19.94,94.4,0,0,0,19.36,19.58,0.031
"2022-05-12 00:00:00",16787,12.87,101.2146,0.291,198.6,9.22,19.11,97.1,0,0,0,18.66,19.01,0.031
"2022-05-12 01:00:00",16788,12.86,101.2227,0.247,193.1,10.21,18.45,97.8,0,0,0,18.21,18.38,0.031
"2022-05-12 02:00:00",16789,12.85,101.2065,0.256,201.4,8.5,18.31,98.8,0,0,0,18.08,18.22,0.031
"2022-05-12 03:00:00",16790,12.83,101.174,0.315,193.8,6.93,17.93,99.7,0,0,0,17.97,18.01,0.031
"2022-05-12 04:00:00",16791,12.82,101.174,0.31,196.8,8.54,18.01,99.7,0,0,0,17.97,18.03,0.031
"2022-05-12 05:00:00",16792,12.8,101.1902,0.316,204.5,9.57,18.05,99.6,0,0,0,17.9,18,0.031
"2022-05-12 06:00:00",16793,12.78,101.2471,0.38,211.5,8.57,17.93,99.5,0,0,0,17.67,17.88,0.031
"2022-05-12 07:00:00",16794,12.77,101.3282,0.448,221.5,10.67,17.89,98.1,16.38,0.858,0,17.56,17.76,0.031
"2022-05-12 08:00:00",16795,12.9,101.377,0.784,202.5,20.41,19.73,89.9,145.2,6.125,0,18.24,19.18,0.031
"2022-05-12 09:00:00",16796,13.72,101.4163,0.997,192.3,28.89,22.45,83,325.2,14.31,0,20.15,21.44,0.031
"2022-05-12 10:00:00",16797,14.15,101.3775,0.961,192.4,32.55,24.75,77.25,481.6,22.02,0,23.06,24.75,0.031
