"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2022-07-12 16:00:00",18267,13.54,50,0,0,0,21.49,87.3,70.49,4.654,0,20.83,20.83,0.083
"2022-07-12 17:00:00",18268,12.96,101.9608,1.138,91.4,22.15,21.24,86.6,40.03,2.083,0,20.12,20.44,0.083
"2022-07-12 18:00:00",18269,12.93,101.9815,1.119,94,21.94,20.55,87,0.997,0.086,0,19.2,19.51,0.084
"2022-07-12 19:00:00",18270,12.92,102.0264,1.23,91.6,23.77,20.95,86.8,0,0,0,19.35,19.78,0.084
"2022-07-12 20:00:00",18271,12.9,102.0675,1.915,78.65,20.75,21.14,87,0,0,0,19.91,19.98,0.084
"2022-07-12 21:00:00",18272,12.89,102.0664,1.688,72.57,20.63,21.02,90.1,0,0,0,19.54,19.73,0.084
"2022-07-12 22:00:00",18273,12.88,102.0764,0.643,78.49,17.01,20.87,91.7,0,0,0,19.51,19.66,0.083
"2022-07-12 23:00:00",18274,12.86,102.0805,0,0,0,20.17,94.6,0,0,0,18.57,19.06,0.083
"2022-07-13 00:00:00",18275,12.83,102.0173,0.038,19.66,0.129,19.38,97,0,0,0,18.52,18.66,0.083
"2022-07-13 01:00:00",18276,12.79,101.9771,0.01,18.83,0.027,19.3,98.4,0,0,0,18.34,18.62,0.083
"2022-07-13 02:00:00",18277,12.75,101.929,0.082,357,27.95,19.26,98.8,0,0,0,18.67,18.88,0.082
"2022-07-13 03:00:00",18278,12.74,101.9046,0.094,203.5,5.581,18.38,99.6,0,0,0,18.39,18.48,0.082
"2022-07-13 04:00:00",18279,12.73,101.864,0,0,0,18.18,99.9,0,0,0,18.28,18.37,0.082
"2022-07-13 05:00:00",18280,12.71,101.8397,0.006,232.7,0.008,17.99,100,0,0,0,18.04,18.14,0.081
"2022-07-13 06:00:00",18281,12.68,101.8478,0.314,324.3,19.15,17.69,100,0,0,0,17.46,17.77,0.081
"2022-07-13 07:00:00",18282,12.72,101.864,0.015,351.7,1.407,17.29,100,3.832,0.251,0,16.93,17.26,0.081
"2022-07-13 08:00:00",18283,12.73,101.9127,0.436,326.3,11.85,17.92,96.9,74.48,3.693,0,16.99,17.76,0.081
"2022-07-13 09:00:00",18284,13.57,101.9013,1.481,326,20.92,19.95,88.9,190.8,9.64,0,18.85,19.54,0.081
"2022-07-13 10:00:00",18285,13.86,101.8876,2.148,329.2,28.4,20.9,83.5,265.3,14.28,0,20.04,20.84,0.08
"2022-07-13 11:00:00",18286,14.21,101.7523,2.056,336.2,30.21,23.48,67.61,504.8,22.91,0,22.07,24.13,0.08
