"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2021-02-25 15:00:00",6218,13.93,100.2564,1.151,222.8,36.96,23.69,91.8,203.6,12.71,0,24.47,25.03,0.065
"2021-02-25 16:00:00",6219,14.01,100.2158,1.017,173.2,48.06,24.8,87.9,326.1,17.41,0,24.72,26.01,0.065
"2021-02-25 17:00:00",6220,13.98,100.2142,1.207,160.8,45.95,26.41,78.31,397.7,16.68,0,26.38,27.65,0.066
"2021-02-25 18:00:00",6221,12.98,100.2239,0.832,155.8,34.8,24.73,90.1,95.4,5.542,0,23.91,24.93,0.067
"2021-02-25 19:00:00",6222,12.96,100.313,0.438,212.3,21.89,22.45,95.7,2.39,0.424,0,22.57,23.11,0.067
"2021-02-25 20:00:00",6223,12.9,100.3704,0.359,193.9,20.29,21.79,97,0,0,0,22.08,22.32,0.068
"2021-02-25 21:00:00",6224,12.87,100.4109,0.543,183.4,38.76,21.44,96.2,0,0,0,21.56,21.78,0.068
"2021-02-25 22:00:00",6225,12.9,100.4434,0.539,200.3,26.29,21.22,96.8,0,0,0,21.44,21.5,0.068
"2021-02-25 23:00:00",6226,12.91,100.4515,0.49,213,24.01,21.16,96,0,0,0,21.2,21.34,0.068
"2021-02-26 00:00:00",6227,12.86,100.5002,0.187,231,14.87,20.68,95.2,0,0,0,20.82,21.02,0.068
"2021-02-26 01:00:00",6228,12.82,100.4759,0.816,217.6,26.78,20.62,93.6,0,0,0,20.54,20.63,0.068
"2021-02-26 02:00:00",6229,12.82,100.4597,0.926,215.7,27.06,20.51,93.8,0,0,0,20.56,20.62,0.068
"2021-02-26 03:00:00",6230,12.85,100.5165,0.928,207.5,27.86,20.69,93.9,0,0,0,20.58,20.78,0.068
"2021-02-26 04:00:00",6231,12.82,100.5084,0.773,208,27.86,20.81,93.9,0,0,0,20.93,21,0.068
"2021-02-26 05:00:00",6232,12.81,100.5571,0.882,207.9,30.16,21.06,95,0,0,0,21.06,21.18,0.068
"2021-02-26 06:00:00",6233,12.79,100.5814,0.496,213.5,24.14,20.55,98,0.702,0.2,0.254,20.72,20.99,0.068
"2021-02-26 07:00:00",6234,12.74,100.6301,0.545,193.6,27.85,20.69,95,85.6,3.784,0,20.72,21.18,0.068
"2021-02-26 08:00:00",6235,13.38,100.703,1.141,194.5,41.98,23.11,87.3,314,14.9,0,22.42,23.28,0.068
"2021-02-26 09:00:00",6236,13.48,100.7629,1.589,178.3,49.15,25.74,78.38,610.2,28.63,0,24.68,26.17,0.069
