"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2022-11-08 00:00:00",879,1.041,89.9,69.01,5.9,19.01,28.32,61.25,99,1310,336.4,57.66,16.6,1.151,0,19.6,25.49,0.076
"2022-11-09 00:00:00",880,1.459,20.13,23.25,4.7,22.55,31.47,60.96,99.5,1347,255.4,62.11,13.21,0.794,0.254,23.32,26.81,0.071
"2022-11-10 00:00:00",881,0.71,129.5,44.99,4.175,21.87,31.14,60.7,100,1295,407.3,64.04,20.21,1.389,0,22.51,27.79,0.068
"2022-11-11 00:00:00",882,1.225,169.6,32.18,4.475,20.34,28.04,66.29,97.8,1441,263.7,67.88,13.52,0.842,0,21.08,24.86,0.064
"2022-11-12 00:00:00",883,1.191,74.81,56.84,4.55,19.3,26.71,72.62,100,914,160.9,43.2,8.97,0.594,0,20.34,24.46,0.061
"2022-11-13 00:00:00",884,1.613,24.97,20.92,5.825,21.69,30,67.11,98.1,1511,292,68.89,15.38,0.994,0,22.37,27.06,0.058
"2022-11-14 00:00:00",885,1.482,44.64,82,5.375,19.6,28.96,76.54,100,707.7,109,36.42,6.598,0.388,16,20,24.71,0.066
"2022-11-15 00:00:00",886,1.506,179.3,37.11,5.3,17.55,27.48,54.78,99.8,1402,372.4,65.25,18.77,1.211,0,17.79,22.74,0.087
"2022-11-16 00:00:00",887,1.074,128.2,72.68,5.3,16.35,27.94,53.48,99.5,1181,426.5,57.05,20.68,1.485,0,17.18,24.32,0.076
"2022-11-17 00:00:00",888,1.058,35.83,35.56,6.05,16.59,31.3,51.12,100,1064,411.2,52.4,19.76,1.375,0,18.19,26.13,0.07
"2022-11-18 00:00:00",889,0.957,38.78,28.17,5.3,20.68,30.88,56.56,99.2,1389,344.4,60.5,16.81,1.122,0,21.51,27.59,0.064
"2022-11-19 00:00:00",890,1.757,20.92,29.24,7.025,20.16,31.42,57.7,100,1287,393.7,59.38,18.99,1.306,1.778,21.15,28.03,0.058
"2022-11-20 00:00:00",891,1.44,156.3,52.79,5.975,20.04,31.5,69.11,99.3,1256,370.6,57.26,18.49,1.213,4.572,20.42,26.72,0.054
"2022-11-21 00:00:00",892,1.548,170.7,39.03,7.175,16.14,26.66,56.48,97.8,1422,378.2,66.06,17.78,1.211,0.254,16.89,22.12,0.052
"2022-11-22 00:00:00",893,1.482,24.63,75.05,7.25,15.68,28.69,47.43,92.4,1333,421.6,59.38,20.31,1.475,0,16.22,24.5,0.049
"2022-11-23 00:00:00",894,1.848,14.77,41.68,6.875,17.58,30.13,49.45,94.6,1160,413.7,53.82,19.76,1.341,0,18.19,25.99,0.044
"2022-11-24 00:00:00",895,1.73,15.94,32.13,6.65,22.03,30.82,50.6,98.8,1311,396.2,61.51,19.77,1.256,1.778,22.33,26.65,0.041
"2022-11-25 00:00:00",896,1.945,20.08,34.79,7.85,21.53,32.47,49.7,98.6,1061,409.5,53.01,19.94,1.443,0,21.83,28.09,0.038
"2022-11-26 00:00:00",897,1.161,168.8,33.05,4.25,22.1,30.2,56.68,97.9,1140,250,51.29,12.97,0.877,0,22.56,25.95,0.035
"2022-11-27 00:00:00",898,0.994,172.6,32.49,4.4,21.11,30.18,59.26,97.9,1462,273,66.16,14.67,0.894,0,21.8,25.76,0.034
"2022-11-28 00:00:00",899,1.156,187.8,28.64,5.3,19,27,71.39,100,1690,185,76.18,10.45,0.676,20.07,19.77,22.67,0.061
"2022-11-29 00:00:00",900,1.289,168.9,37.04,5.45,19.03,27.38,55.52,100,1524,369.5,69.4,18.41,1.202,0.508,19.24,23.46,0.086
"2022-11-30 00:00:00",901,0.876,168.3,57.21,5,16.87,26.5,55.38,97.6,1648,358.9,76.48,17.79,1.148,3.302,17.74,22.45,0.077
"2022-12-01 00:00:00",902,1.189,98.1,46.02,6.125,15.99,28.2,44.95,97.7,1393,406.6,63.84,19.97,1.414,0,17.06,24.49,0.073
"2022-12-02 00:00:00",903,1.347,41.87,59.46,6.725,16.91,28.91,60.47,98.6,1463,389.1,67.98,18.76,1.267,0,18.3,25.22,0.068
"2022-12-03 00:00:00",904,1.891,13.42,31.91,7.625,16.38,32.27,44.49,100,1120,429.8,55.43,20.87,1.528,0,17.86,26.73,0.062
"2022-12-04 00:00:00",905,1.346,167.2,32.47,6.05,21.15,28.43,65.92,99.9,1434,299.1,66.77,15.76,0.958,14.22,21.89,24.57,0.087
"2022-12-05 00:00:00",906,1.31,121.8,68.16,5.225,19.5,29.5,62.96,99.4,1479,280.4,66.06,14.17,0.891,1.524,20.33,25.47,0.078
