"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2022-11-07 14:35:00",253173,2.468,51.63,25.58,27.52,66.34,802,38.43,0,34.16
"2022-11-07 14:40:00",253174,2.798,54.33,25.49,27.24,68.7,724.3,34.25,0,34.45
"2022-11-07 14:45:00",253175,2.463,38.59,20.71,27.14,67.66,754.1,36.05,0,34.54
"2022-11-07 14:50:00",253176,2.515,48.76,27.15,26.91,68.24,730,34.72,0,33.99
"2022-11-07 14:55:00",253177,2.397,55.17,30.29,27.07,67.49,707.8,33.57,0,34
"2022-11-07 15:00:00",253178,2.418,33.22,19.27,27.01,68.09,689.4,32.49,0,33.92
"2022-11-07 15:05:00",253179,2.29,35.25,30.22,27.01,67.46,673.4,31.45,0,33.61
"2022-11-07 15:10:00",253180,2.13,35.33,25.59,26.93,68.3,660.7,30.48,0,33.05
"2022-11-07 15:15:00",253181,2.893,74.47,21.7,26.88,68.67,644.8,29.29,0,32.57
"2022-11-07 15:20:00",253182,2.73,71.71,31.94,26.58,69.07,539.2,25.81,0,31.85
"2022-11-07 15:25:00",253183,2.338,67.07,23.1,26.22,71.11,373.3,20.36,0,30.96
"2022-11-07 15:30:00",253184,1.865,41.81,20.02,26.3,69.91,408.3,20.43,0,30.93
"2022-11-07 15:35:00",253185,2.35,61.36,24.1,26.45,69.52,402.1,19.99,0,30.93
"2022-11-07 15:40:00",253186,2.385,53.7,24.55,26.09,72.67,289.8,17.11,0,30.45
"2022-11-07 15:45:00",253187,2.043,46.08,18.56,25.98,73.04,415.9,19.79,0,30.15
"2022-11-07 15:50:00",253188,2.615,48.26,24.68,26.19,71.36,460,20.84,0,30.35
"2022-11-07 15:55:00",253189,2.38,37.79,23.21,26.1,73.72,422.3,19.67,0,30.16
"2022-11-07 16:00:00",253190,2.303,44.27,33.05,25.97,72.84,238,15.51,0,29.92
"2022-11-07 16:05:00",253191,2.133,46.49,21.62,25.57,74,226.7,14.44,0,29.32
"2022-11-07 16:10:00",253192,2.245,42.24,26.99,25.55,74.18,293.6,15.03,0,28.92
"2022-11-07 16:15:00",253193,2.2,47.24,23.26,25.81,73.06,327.9,15.14,0,29.01
"2022-11-07 16:20:00",253194,2.488,45.32,25.33,25.76,72.97,342.3,14.96,0,29.12
"2022-11-07 16:25:00",253195,2.627,61.9,20.76,25.89,72.23,355.6,14.64,0,29.26
"2022-11-07 16:30:00",253196,2.53,49.35,21.83,25.96,73.15,339.7,13.73,0,29.19
"2022-11-07 16:35:00",253197,2.34,50.36,24.53,26.07,72.78,308.5,12.53,0,28.67
"2022-11-07 16:40:00",253198,2.753,65.15,22.89,25.66,74.22,271.4,11.3,0,27.88
"2022-11-07 16:45:00",253199,2.693,56.5,31.38,25.49,75.54,250.2,10.31,0,27.36
"2022-11-07 16:50:00",253200,2.292,45.07,25.88,25.35,75.47,213.6,9.19,0,26.95
"2022-11-07 16:55:00",253201,1.765,44.7,24.7,25.21,76.81,141.9,7.861,0,26.75
"2022-11-07 17:00:00",253202,2.41,38.2,22.36,24.8,79.07,71.12,6.69,0,26.47
"2022-11-07 17:05:00",253203,2.705,53.98,25.76,24.45,80.4,60.82,6.029,0,26.05
"2022-11-07 17:10:00",253204,1.943,36.63,23.63,24.4,80.7,60.42,5.669,0,25.93
"2022-11-07 17:15:00",253205,2.502,49.33,25.47,24.32,80.8,59.05,5.271,0,25.76
"2022-11-07 17:20:00",253206,2.05,37.74,33.01,24.29,81.8,55.39,4.788,0,25.64
"2022-11-07 17:25:00",253207,2.325,42.18,22.03,24.22,82.1,50.09,4.246,0,25.53
"2022-11-07 17:30:00",253208,1.623,42.51,17.1,24.11,82.8,42.93,3.703,0,25.42
"2022-11-07 17:35:00",253209,2.397,40.54,37.07,23.98,83.3,36.66,3.163,0,25.25
"2022-11-07 17:40:00",253210,2.022,38.17,23.39,23.86,83.7,31.06,2.637,0,25.1
"2022-11-07 17:45:00",253211,1.953,35.04,19.01,23.77,84.5,27.33,2.145,0,24.99
"2022-11-07 17:50:00",253212,2.235,42.66,17.33,23.73,84.9,22.63,1.683,0,24.89
"2022-11-07 17:55:00",253213,1.713,33.21,25.33,23.66,85.7,16.33,1.265,0,24.75
"2022-11-07 18:00:00",253214,1.733,36.97,25.43,23.55,86.4,10.42,0.995,0,24.67
"2022-11-07 18:05:00",253215,2.245,37.7,20.44,23.49,86.5,5.329,0.678,0,24.52
"2022-11-07 18:10:00",253216,1.69,41.47,23.27,23.42,87.3,2.031,0.418,0,24.42
"2022-11-07 18:15:00",253217,1.555,39.62,25.6,23.32,87.7,0.109,0.236,0,24.34
"2022-11-07 18:20:00",253218,1.396,34.96,19.48,23.25,88.1,0,0.111,0,24.26
"2022-11-07 18:25:00",253219,0.913,39.74,14.74,23.12,88.8,0,0.024,0,24.31
"2022-11-07 18:30:00",253220,1.248,31.96,17.06,23.08,89.2,0,0,0,24.16
"2022-11-07 18:35:00",253221,0.687,32.86,14.74,22.98,90,0,0,0,24.17
"2022-11-07 18:40:00",253222,1.197,27.83,12.35,22.92,90.2,0,0,0,24.04
"2022-11-07 18:45:00",253223,1.206,43.46,18.14,22.86,90.6,0,0,0,23.95
"2022-11-07 18:50:00",253224,1.156,29.65,18.86,22.8,91,0,0,0,23.86
"2022-11-07 18:55:00",253225,0.639,30.5,12.17,22.72,91.5,0,0,0,23.85
"2022-11-07 19:00:00",253226,0.695,38.86,11.98,22.63,92,0,0,0,23.86
"2022-11-07 19:05:00",253227,1.045,37.81,13.67,22.62,92.1,0,0,0,23.76
"2022-11-07 19:10:00",253228,0.691,39.08,9.56,22.64,92.4,0,0,0,23.7
"2022-11-07 19:15:00",253229,1.053,37.37,13.34,22.61,92.5,0,0,0,23.62
"2022-11-07 19:20:00",253230,1.258,28.53,17.96,22.63,92.4,0,0,0,23.51
"2022-11-07 19:25:00",253231,0.915,22.87,22.35,22.66,92.6,0,0,0,23.53
"2022-11-07 19:30:00",253232,0.767,33.58,16.92,22.63,92.8,0,0,0,23.54
"2022-11-07 19:35:00",253233,1.053,27.25,14.84,22.58,93.1,0,0,0,23.51
"2022-11-07 19:40:00",253234,0.709,30.17,22.78,22.55,93.4,0,0,0,23.49
"2022-11-07 19:45:00",253235,0.583,22.93,13.99,22.52,93.7,0,0,0,23.5
"2022-11-07 19:50:00",253236,0.909,33.35,13.05,22.53,93.7,0,0,0,23.47
"2022-11-07 19:55:00",253237,0.731,31.34,12.91,22.54,93.9,0,0,0,23.42
"2022-11-07 20:00:00",253238,0.726,29.79,10.45,22.5,94.1,0,0,0,23.4
"2022-11-07 20:05:00",253239,0.829,26.43,12.58,22.5,94.3,0,0,0,23.37
"2022-11-07 20:10:00",253240,0.977,33.9,15.75,22.5,94.4,0,0,0,23.32
"2022-11-07 20:15:00",253241,1.25,30.44,20.39,22.54,94.2,0,0,0,23.26
"2022-11-07 20:20:00",253242,1,30.62,15.35,22.56,94.4,0,0,0,23.28
"2022-11-07 20:25:00",253243,0.658,27.04,14.66,22.53,94.6,0,0,0,23.31
"2022-11-07 20:30:00",253244,0.512,33.89,4.382,22.52,94.7,0,0,0,23.33
"2022-11-07 20:35:00",253245,0.453,27.46,7.129,22.51,95,0,0,0,23.37
"2022-11-07 20:40:00",253246,0.659,28.74,9.52,22.49,95.1,0,0,0,23.36
"2022-11-07 20:45:00",253247,0.048,41.44,0.747,22.47,95.3,0,0,0,23.43
"2022-11-07 20:50:00",253248,0.302,28.78,7.238,22.41,95.6,0,0,0,23.46
"2022-11-07 20:55:00",253249,0.262,20.9,5.454,22.36,95.8,0,0,0,23.41
"2022-11-07 21:00:00",253250,0.123,23.68,2.954,22.3,96.1,0,0,0,23.41
"2022-11-07 21:05:00",253251,0.096,28.08,0.016,22.27,96.3,0,0,0,23.39
"2022-11-07 21:10:00",253252,0.064,19.21,2.212,22.22,96.5,0,0,0,23.32
"2022-11-07 21:15:00",253253,0.188,28.22,3.41,22.2,96.7,0,0,0,23.27
"2022-11-07 21:20:00",253254,0.345,28.75,7.473,22.2,96.8,0,0,0,23.22
"2022-11-07 21:25:00",253255,0,0,0,22.19,97,0,0,0,23.23
"2022-11-07 21:30:00",253256,0.142,29.77,4.329,22.22,97.2,0,0,0,23.23
"2022-11-07 21:35:00",253257,0.014,34.86,0,22.25,97.2,0,0,0,23.23
"2022-11-07 21:40:00",253258,0,0,0,22.22,97.3,0,0,0,23.22
"2022-11-07 21:45:00",253259,0.068,352,0,22.16,97.5,0,0,0,23.17
"2022-11-07 21:50:00",253260,0.017,352,0,22.21,97.6,0,0,0,23.11
"2022-11-07 21:55:00",253261,0.028,352,0,22.15,97.6,0,0,0,23.1
"2022-11-07 22:00:00",253262,0.051,352,0.004,22.11,97.8,0,0,0,23.06
"2022-11-07 22:05:00",253263,0.056,352,0.004,22.13,98,0,0,0,23.04
"2022-11-07 22:10:00",253264,0.338,352,0.011,22.21,98.1,0,0,0,23
"2022-11-07 22:15:00",253265,0.184,356.6,5.377,22.23,98.1,0,0,0,22.97
"2022-11-07 22:20:00",253266,0.018,351.6,0.006,22.21,98.1,0,0,0,23
"2022-11-07 22:25:00",253267,0,0,0,22.17,98.2,0,0,0,23.08
"2022-11-07 22:30:00",253268,0.298,351.3,0.167,22.13,98.4,0,0,0,23.01
"2022-11-07 22:35:00",253269,0.327,350.9,0.094,22.23,98.3,0,0,0,22.88
"2022-11-07 22:40:00",253270,0,0,0,22.15,98.4,0,0,0,22.93
"2022-11-07 22:45:00",253271,0,0,0,22.11,98.4,0,0,0,22.93
