phen_name_full,phen_type,phen_name,units,measure,offset,var_type,uz_phen_name,uz_units,uz_measure,f_convert,sensor_id,notes
Battery level: maximum voltage,Battery level,batt_max_v,v,max,0,num,BattV_Max,Volts,Max,NA,NA,NA
Battery level: maximum voltage,Battery level,batt_max_v,v,max,0,num,LoggerBatt_Max,Volts,Max,NA,NA,NA
Battery level: time of maximum,Battery level,batt_max_v_time,time,smp,0,posix,BattV_TMx,Volts,TMx,NA,NA,NA
Battery level: minimum voltage,Battery level,batt_min_v,v,min,0,num,BattV_Min,Volts,Min,NA,NA,NA
Battery level: time of minimum,Battery level,batt_min_v_time,time,smp,0,posix,BattV_TMn,Volts,TMn,NA,NA,NA
Data logger: serial number,Data logger: serial number,data_logger_sn,smp,smp,0,chr,DataloggerSerialNumber,,Smp,NA,NA,NA
"Humidity, relative: maximum","Humidity, relative",humid_rel_max_pcnt,pcnt,max,0,num,RH_Max,%,Max,NA,NA,NA
"Humidity, relative: time of maximum","Humidity, relative",humid_rel_max_time,time,smp,0,posix,RH_TMx,,TMx,NA,NA,NA
"Humidity, relative: minimum","Humidity, relative",humid_rel_min,pcnt,min,0,num,RH_Min,%,Min,NA,NA,NA
"Humidity, relative: percent","Humidity, relative",humid_rel_pcnt,pcnt,smp,0,num,RH,%,Smp,NA,NA,NA
Leaf wetness: total time con,Leaf wetness: time con,leaf_con_tot_time,mins,tot,0,num,LWMCon_Tot,Minutes,Tot,NA,NA,NA
Leaf wetness: total time dry,Leaf wetness: time dry,leaf_dry_tot_time,mins,tot,0,num,LWMDry_Tot,Minutes,Tot,NA,NA,NA
Leaf wetness: average,Leaf wetness: conductivity,leaf_wet_avg,mv,avg,0,num,LWmV_Avg,mV,Avg,NA,NA,NA
Leaf wetness: maximum,Leaf wetness,leaf_wet_max,mv,max,0,num,LWmV_Max,mV,Max,NA,NA,NA
Leaf wetness: time of maximum,Leaf wetness,leaf_wet_max_time,time,smp,0,posix,LWmV_TMx,,TMx,NA,NA,NA
Leaf wetness: minimum,Leaf wetness,leaf_wet_min,mv,min,0,num,LWmV_Min,mV,Min,NA,NA,NA
Leaf wetness: time of minimum,Leaf wetness,leaf_wet_min_time,time,smp,0,posix,LWmV_TMn,,TMn,NA,NA,NA
