"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2021-08-11 15:25:00",122720,4,20.29,23.25,21.88,63.71,316.3,12.77,0,23.91
"2021-08-11 15:30:00",122721,4.47,20.52,16.98,21.56,64.57,269.9,11.65,0,23.41
"2021-08-11 15:35:00",122722,3.785,25.28,32.54,21.42,64.64,291,11.52,0,23.14
"2021-08-11 15:40:00",122723,3.248,22.01,27.44,21.54,64.59,277.3,10.87,0,23.14
"2021-08-11 15:45:00",122724,3.43,29.49,31.82,21.37,66.54,262.2,10.24,0,22.95
"2021-08-11 15:50:00",122725,3.477,23.48,23.77,21.24,66.74,248.4,9.68,0,22.75
"2021-08-11 15:55:00",122726,3.6,18.7,33.69,20.96,68.51,226.7,8.86,0,22.33
"2021-08-11 16:00:00",122727,3.502,27.79,20.3,20.66,70.34,126.4,6.881,0,21.64
"2021-08-11 16:05:00",122728,3.492,19.61,21.16,20.35,70.84,86,5.526,0,21.1
"2021-08-11 16:10:00",122729,3.565,20.97,23.82,20.07,72.57,101.2,5.644,0,20.74
"2021-08-11 16:15:00",122730,3.25,12.4,27,19.95,72.82,151.4,6.234,0,20.55
"2021-08-11 16:20:00",122731,3.21,28.49,40.79,20.21,71.8,134.9,5.603,0,20.64
"2021-08-11 16:25:00",122732,2.625,23.65,29.68,20.12,72.42,97.2,4.454,0,20.51
"2021-08-11 16:30:00",122733,2.758,10.82,18.73,20.07,71.7,98,4.427,0,20.46
"2021-08-11 16:35:00",122734,3.603,13.38,27.34,20.06,71.42,85.6,4.349,0,20.45
"2021-08-11 16:40:00",122735,3.738,14.25,37.37,20.01,71.59,76.51,4.12,0,20.36
"2021-08-11 16:45:00",122736,3.588,16.07,38.05,19.92,72.31,55.67,3.324,0,20.21
"2021-08-11 16:50:00",122737,3.395,16.84,26.36,19.75,72.51,42.72,2.734,0,20
"2021-08-11 16:55:00",122738,3.79,9.84,32.03,19.62,72.67,35.65,2.292,0,19.81
"2021-08-11 17:00:00",122739,3.735,13.52,23.6,19.53,72.96,30.39,1.908,0,19.67
"2021-08-11 17:05:00",122740,3.735,12.29,26.11,19.44,72.84,22.95,1.527,0,19.53
"2021-08-11 17:10:00",122741,3.535,8.9,27.07,19.36,73.57,14.87,1.187,0,19.43
"2021-08-11 17:15:00",122742,3.735,12.26,22.48,19.22,73.87,8.69,0.944,0,19.26
"2021-08-11 17:20:00",122743,2.76,11.85,21.82,19.14,74.44,3.777,0.674,0,19.14
"2021-08-11 17:25:00",122744,2.968,14.28,19.82,19.04,74.86,1.385,0.428,0,18.99
"2021-08-11 17:30:00",122745,2.883,20.52,26.38,18.97,75.26,0,0.243,0,18.87
"2021-08-11 17:35:00",122746,2.578,19.78,30.61,18.93,75.64,0,0.145,0,18.77
"2021-08-11 17:40:00",122747,2.693,9.98,25.57,18.85,76.19,0,0.007,0,18.69
"2021-08-11 17:45:00",122748,2.36,11.72,18.89,18.78,76.6,0,0,0,18.59
"2021-08-11 17:50:00",122749,2.468,11.28,29.82,18.67,77.13,0,0,0,18.51
"2021-08-11 17:55:00",122750,2.522,10.8,18.71,18.64,77.4,0,0,0,18.48
"2021-08-11 18:00:00",122751,2.015,13.07,29.29,18.57,77.87,0,0,0,18.37
"2021-08-11 18:05:00",122752,2.142,11.62,24.09,18.56,78.07,0,0,0,18.31
"2021-08-11 18:10:00",122753,1.593,14.13,35.87,18.5,78.58,0,0,0,18.22
"2021-08-11 18:15:00",122754,2.21,11.21,27.75,18.5,78.54,0,0,0,18.16
"2021-08-11 18:20:00",122755,2.053,357.2,31.01,18.47,78.67,0,0,0,18.11
"2021-08-11 18:25:00",122756,1.968,357.5,23.9,18.41,78.91,0,0,0,18.04
"2021-08-11 18:30:00",122757,2.048,14.63,25.45,18.44,78.94,0,0,0,18.02
"2021-08-11 18:35:00",122758,2.393,11.55,29.6,18.42,79,0,0,0,18
"2021-08-11 18:40:00",122759,1.97,2.576,26.23,18.37,79.28,0,0,0,17.97
"2021-08-11 18:45:00",122760,1.753,356.9,22.05,18.31,79.47,0,0,0,17.9
"2021-08-11 18:50:00",122761,2.025,12.69,21.86,18.27,79.53,0,0,0,17.85
"2021-08-11 18:55:00",122762,1.388,6.635,24.14,18.25,79.9,0,0,0,17.79
"2021-08-11 19:00:00",122763,1.525,3.813,31.16,18.15,80.3,0,0,0,17.7
"2021-08-11 19:05:00",122764,1.543,5.655,21.96,18.11,80.7,0,0,0,17.61
"2021-08-11 19:10:00",122765,1.493,4.67,18.36,18.06,81,0,0,0,17.53
"2021-08-11 19:15:00",122766,1.468,9.79,18.97,18.02,81.3,0,0,0,17.51
"2021-08-11 19:20:00",122767,1.53,359.5,25.28,18,81.5,0,0,0,17.48
"2021-08-11 19:25:00",122768,1.235,8.75,16.68,17.99,81.7,0,0,0,17.43
"2021-08-11 19:30:00",122769,1.101,4.561,22.9,17.9,82.2,0,0,0,17.33
"2021-08-11 19:35:00",122770,1.223,10.92,18.74,17.87,82.3,0,0,0,17.26
"2021-08-11 19:40:00",122771,1.164,11.36,29.32,17.82,82.6,0,0,0,17.16
"2021-08-11 19:45:00",122772,1.308,7.56,21.78,17.8,82.9,0,0,0,17.18
"2021-08-11 19:50:00",122773,1.48,4.307,20.78,17.78,82.9,0,0,0,17.11
"2021-08-11 19:55:00",122774,0.878,353.2,21.81,17.76,83.1,0,0,0,17.08
"2021-08-11 20:00:00",122775,1.105,354.9,16.99,17.62,83.9,0,0,0,16.94
"2021-08-11 20:05:00",122776,1.043,355.6,17.36,17.53,84.3,0,0,0,16.82
"2021-08-11 20:10:00",122777,0.926,357.3,17.17,17.48,84.5,0,0,0,16.72
"2021-08-11 20:15:00",122778,0.913,352.8,24.03,17.38,85.1,0,0,0,16.61
"2021-08-11 20:20:00",122779,0.843,357.3,18.44,17.3,85.3,0,0,0,16.46
"2021-08-11 20:25:00",122780,1.38,358.8,30.24,17.36,85.1,0,0,0,16.51
"2021-08-11 20:30:00",122781,1.241,5.575,19.81,17.4,85.3,0,0,0,16.55
"2021-08-11 20:35:00",122782,0.945,2.47,23.28,17.45,85.2,0,0,0,16.59
"2021-08-11 20:40:00",122783,1.37,3.476,21.17,17.45,85.1,0,0,0,16.61
"2021-08-11 20:45:00",122784,1.081,7.888,27.4,17.5,85.1,0,0,0,16.64
"2021-08-11 20:50:00",122785,1.248,15.95,18.37,17.51,85.1,0,0,0,16.71
"2021-08-11 20:55:00",122786,0.666,23.25,18.1,17.45,85.5,0,0,0,16.69
"2021-08-11 21:00:00",122787,0.888,12.8,21.01,17.34,86,0,0,0,16.61
"2021-08-11 21:05:00",122788,0.862,17.07,18.15,17.28,86.2,0,0,0,16.55
"2021-08-11 21:10:00",122789,1.13,16.62,17.15,17.25,86.5,0,0,0,16.56
"2021-08-11 21:15:00",122790,0.978,15.01,18.38,17.23,86.6,0,0,0,16.51
"2021-08-11 21:20:00",122791,1.075,9.36,19.53,17.23,86.8,0,0,0,16.48
"2021-08-11 21:25:00",122792,1.53,10.09,16.42,17.27,86.6,0,0,0,16.5
"2021-08-11 21:30:00",122793,1.272,5.377,20.2,17.31,86.9,0,0,0,16.52
"2021-08-11 21:35:00",122794,1.513,9.59,17.85,17.34,86.8,0,0,0,16.59
"2021-08-11 21:40:00",122795,1.353,3.498,17.39,17.34,87.1,0,0,0,16.62
"2021-08-11 21:45:00",122796,1.455,4.831,20.4,17.33,87.4,0,0,0,16.6
"2021-08-11 21:50:00",122797,1.645,1.719,25.41,17.33,87.4,0,0,0,16.58
"2021-08-11 21:55:00",122798,1.37,0.43,19.89,17.31,87.9,0,0,0,16.57
"2021-08-11 22:00:00",122799,1.66,5.433,20.1,17.33,87.9,0,0,0,16.61
"2021-08-11 22:05:00",122800,1.62,17.47,18.51,17.42,88,0,0,0,16.7
"2021-08-11 22:10:00",122801,1.4,6.327,33.47,17.47,87.7,0,0,0,16.74
"2021-08-11 22:15:00",122802,1.567,7.379,25.44,17.43,88.2,0,0,0,16.7
"2021-08-11 22:20:00",122803,1.586,357.9,22.72,17.49,88.1,0,0,0,16.75
"2021-08-11 22:25:00",122804,1.198,2.283,24.02,17.44,88.5,0,0,0,16.7
"2021-08-11 22:30:00",122805,1.615,7.199,20.12,17.48,88.2,0,0,0,16.7
"2021-08-11 22:35:00",122806,1.348,356.9,24.91,17.58,88.3,0,0,0,16.71
"2021-08-11 22:40:00",122807,1.152,1.444,24.09,17.56,88.5,0,0,0,16.64
"2021-08-11 22:45:00",122808,1.585,4.499,16.57,17.55,88.6,0,0,0,16.65
"2021-08-11 22:50:00",122809,1.3,9.17,16.07,17.65,88.3,0,0,0,16.74
"2021-08-11 22:55:00",122810,1.392,6.664,18.99,17.64,88.4,0,0,0,16.74
"2021-08-11 23:00:00",122811,1.458,5.23,21.07,17.65,88.4,0,0,0,16.73
"2021-08-11 23:05:00",122812,1.775,357.7,21.02,17.76,87.8,0,0,0,16.83
"2021-08-11 23:10:00",122813,1.678,6.815,26.6,17.86,87.7,0,0,0,16.9
"2021-08-11 23:15:00",122814,1.813,1.28,23.88,17.95,87.2,0,0,0,16.96
"2021-08-11 23:20:00",122815,1.952,7.463,18.1,18.05,86.6,0,0,0,17.03
"2021-08-11 23:25:00",122816,1.875,2.528,24.52,18.09,86.4,0,0,0,17.08
"2021-08-11 23:30:00",122817,1.605,1.889,28.42,18.04,86.5,0,0,0,17.08
"2021-08-11 23:35:00",122818,2.055,5.451,32.74,18.09,85.6,0,0,0,17.13
