"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2021-05-12 16:00:00",8043,13.74,100.9212,1.646,21.41,29.2,29.09,75.59,262.5,10.12,0,27.04,30.71,0.047
"2021-05-12 17:00:00",8044,13,100.9538,1.388,32.38,25.69,24.94,87.1,49.86,2.967,0,23.68,25.16,0.047
"2021-05-12 18:00:00",8045,12.97,101.039,0.877,21.53,19.68,22.64,92.9,0.418,0.099,0,21.73,22.7,0.047
"2021-05-12 19:00:00",8046,12.92,101.1085,0.034,21.46,4.234,21.03,96.9,0,0,0,19.04,20.29,0.047
"2021-05-12 20:00:00",8047,12.91,101.1763,0,0,0,20.29,98.6,0,0,0,18.12,18.46,0.047
"2021-05-12 21:00:00",8048,12.92,101.2347,0,0,0,20.15,99.2,0,0,0,17.87,17.98,0.047
"2021-05-12 22:00:00",8049,12.91,101.22,0,0,0,20.04,100,0,0,0,17.87,17.97,0.047
"2021-05-12 23:00:00",8050,12.89,101.3096,0.165,191.8,27.52,19.8,100,0,0,0,17.69,18.02,0.047
"2021-05-13 00:00:00",8051,12.86,101.3141,0.693,189,31.47,19.26,100,0,0,0,19.07,19.3,0.047
"2021-05-13 01:00:00",8052,12.87,101.3222,0.393,175.3,33.56,19.2,100,0,0,0,19.12,19.22,0.047
"2021-05-13 02:00:00",8053,12.86,101.304,0.323,190.6,23.97,19.29,100,0,0,0,19.21,19.29,0.047
"2021-05-13 03:00:00",8054,12.85,101.297,0.177,189.3,17.27,19.05,100,0,0,0,18.94,19.06,0.046
"2021-05-13 04:00:00",8055,12.83,101.2762,0.344,191.4,22.08,18.85,100,0,0,0,18.73,18.91,0.046
"2021-05-13 05:00:00",8056,12.81,101.2761,0.168,187.9,16.53,18.41,100,0,0,0,18.31,18.52,0.046
"2021-05-13 06:00:00",8057,12.78,101.3335,0.645,198.9,27.79,18.45,100,0,0,0,18.44,18.63,0.046
"2021-05-13 07:00:00",8058,12.74,101.3639,0.713,201.4,25.76,18.37,99.9,17.5,0.839,0,18.41,18.55,0.046
"2021-05-13 08:00:00",8059,13.07,101.4082,0.924,202.3,29.97,19.64,93,159.4,6.268,0,18.75,19.7,0.046
"2021-05-13 09:00:00",8060,13.65,101.4498,0.956,194.4,31.67,22.07,82.5,330.7,13.84,0,20.86,22,0.046
"2021-05-13 10:00:00",8061,14.01,101.4408,0.724,220.9,64.9,24.61,74.95,456.8,20.51,0,23.37,25.15,0.046
"2021-05-13 11:00:00",8062,14.01,101.3758,1.212,350.7,42.62,25.87,67.75,489.6,22.99,0,26.74,27.93,0.046
