"TOA5","88296","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-02-11 00:00:00",244,0.791,123.4,51.1,4.55,22.47,32,63.01,100,1510,395.3,67.16,19.39,1.329,9.65,23.1,28.18,0.079
"2021-02-12 00:00:00",245,0.985,162.6,43.86,5.075,22.94,31.21,62.86,99.4,1495,327.9,70.7,16.48,1.133,0.762,23.32,27.71,0.073
"2021-02-13 00:00:00",246,1.058,131,49.55,6.725,23.08,30.96,71.77,99.8,1451,329.9,69.99,16.89,0.942,25.65,23.41,26.89,0.089
"2021-02-14 00:00:00",247,0.765,137.3,63.93,6.425,24.01,31.1,75.28,100,1398,255.7,67.77,13.11,0.583,100.8,24.4,26.11,0.104
"2021-02-15 00:00:00",248,0.529,90.1,33.06,4.85,24.18,29.64,79.7,100,1575,233.5,74.46,12.66,0.614,38.86,24.55,26.28,0.097
"2021-02-16 00:00:00",249,1.162,158.3,45.49,7.55,20.89,32.11,69.64,100,1379,326.8,65.23,17.12,1.018,21.59,21.25,26.69,0.093
"2021-02-17 00:00:00",250,2.759,182.2,51.77,8.37,19.58,24.7,67.48,100,810,158.1,43.5,9.24,0.588,11.68,19.79,21.69,0.093
"2021-02-18 00:00:00",251,2.007,182.6,50.33,7.4,20.7,26.78,69.75,91.3,1494,235.3,68.88,12.56,0.886,0,20.53,23.56,0.076
"2021-02-19 00:00:00",252,1.048,173.5,46.36,4.55,20.34,31.61,64.19,97.7,1385,411.6,63.72,19.8,1.366,0,20.38,27.1,0.07
"2021-02-20 00:00:00",253,1.794,176.6,50.13,6.575,23.8,27.73,81.4,99.6,1374,192.5,68.18,10.66,0.625,5.842,24.05,25.72,0.073
"2021-02-21 00:00:00",254,1.472,184.9,47.98,5.75,23.68,32.44,65.3,100,1280,373.4,62.3,18.87,1.277,0.762,23.89,27.8,0.076
"2021-02-22 00:00:00",255,1.245,169.2,51.67,4.7,23.25,32.81,57.55,98.8,1305,389.3,57.75,18.89,1.278,0,23.04,27.97,0.069
"2021-02-23 00:00:00",256,0.76,178.7,41.96,3.95,22.31,26.92,76.79,100,1024,195.6,48.65,10.94,0.714,1.778,23.34,25.39,0.064
"2021-02-24 00:00:00",257,1.24,11.15,31.12,5.825,21.62,31.55,54.53,100,1277,397.7,57.24,19.03,1.298,0.254,22.24,27.62,0.06
"2021-02-25 00:00:00",258,0.464,196.9,59.04,3.875,23.27,30.84,70.55,98.8,1202,268.4,54.11,13.34,0.813,0.508,23.88,26.91,0.056
"2021-02-26 00:00:00",259,0.751,203.7,36.93,6.8,19.17,27.6,77.08,100,1314,173.5,59.08,9.09,0.589,6.35,20.23,23.98,0.06
"2021-02-27 00:00:00",260,1.045,180.1,46.88,4.85,20.24,28.62,68.84,99,1473,279.1,68.37,14.4,0.941,0.762,20.54,24.22,0.067
"2021-02-28 00:00:00",261,0.94,177.8,47.46,5,18.9,29.62,54.66,98.5,1370,387.1,62.71,18.62,1.246,0,19.22,24.46,0.063
"2021-03-01 00:00:00",262,0.829,181.7,42.51,4.475,18.36,28.3,57.23,97.8,1028,262.6,47.54,13.76,0.919,1.016,18.78,23.39,0.058
"2021-03-02 00:00:00",263,0.944,172.4,51.63,4.325,18.63,30.47,62.28,98.8,1630,344.5,70.39,17.02,1.078,4.318,19.09,24.09,0.054
"2021-03-03 00:00:00",264,0.756,148.2,61.87,4.55,19.84,30.11,60.12,99.9,1481,338.3,68.27,16.75,1.141,0.508,20.61,25.41,0.053
"2021-03-04 00:00:00",265,0.779,115.8,62.83,4.625,19.36,30.47,51.41,99.1,1150,396.8,51.58,18.28,1.257,0,20.58,26.29,0.05
"2021-03-05 00:00:00",266,0.84,125.4,67.4,5.45,17.68,31.64,47.62,99,1019,388.5,48.55,18.01,1.243,0,19.18,26.3,0.045
"2021-03-06 00:00:00",267,0.762,107.2,67.72,4.1,18.05,32.54,51.9,100,1223,377.6,51.58,17.39,1.17,0.762,19.29,27.37,0.04
"2021-03-07 00:00:00",268,0.925,151.2,55.72,4.625,21.6,30.62,61.15,99.9,1378,343.1,62.91,16.53,1.029,3.556,22.09,26.2,0.037
"2021-03-08 00:00:00",269,0.926,35.5,24.78,4.7,22.38,29.26,67.19,97.1,1181,201.2,53.81,10.81,0.694,0,22.89,26.73,0.036
"2021-03-09 00:00:00",270,1.626,11.62,30.75,7.025,22.68,32.65,55.95,95.8,1150,375.9,53.2,18.04,1.158,0,23.39,28.12,0.035
