"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2022-03-08 00:00:00",634,0.735,46.89,18.93,5.75,21.08,30.87,57.97,100,1256,350.7,60.07,17.5,1.12,0,22.63,27.9,0.075
"2022-03-09 00:00:00",635,0.442,61.28,20.93,4.7,21,31.14,57.21,99.9,1399,297.4,58.05,14.46,0.929,0,22.42,26.95,0.069
"2022-03-10 00:00:00",636,0.481,119.1,34.19,3.5,21.1,31.4,58.43,100,1329,327.3,54.92,15.95,1.066,1.016,22.31,26.72,0.064
"2022-03-11 00:00:00",637,0.777,56.09,27.35,5.525,21.9,32.27,58.6,99.9,1238,350.7,53,16.89,1.125,2.286,23.41,28.21,0.059
"2022-03-12 00:00:00",638,0.5,140.4,26.23,3.8,21.76,30.82,60.16,100,1157,364,53.3,17.97,1.176,7.874,22.51,27.31,0.078
"2022-03-13 00:00:00",639,0.736,82.6,31.05,4.7,21.4,30.82,54.73,100,1221,370.5,56.24,18.04,1.176,0,22.56,27.89,0.074
"2022-03-14 00:00:00",640,0.828,24.43,21.28,5.225,21.34,31.46,60.18,100,1411,312.2,62.91,15.81,1.018,0.254,22.73,27.31,0.067
"2022-03-15 00:00:00",641,0.668,158.2,41.99,4.925,21.54,30.9,73.98,100,827,157.7,35.8,7.775,0.46,0,21.8,25.57,0.063
"2022-03-16 00:00:00",642,1.422,185.9,22.75,5.9,18.79,21.66,91.7,100,324.9,64.56,21.04,4.419,0.264,32.26,19.43,20.23,0.093
"2022-03-17 00:00:00",643,0.842,169,30.08,4.925,18.43,29.07,61.42,100,1389,318.1,63.72,15.86,1.042,0,18.85,23.47,0.081
"2022-03-18 00:00:00",644,0.484,171.8,15.32,3.725,19.08,28.31,64.71,100,1151,243.2,55.12,12.86,0.835,8.38,19.55,23.03,0.086
"2022-03-19 00:00:00",645,0.587,141.7,33.9,4.1,17.68,29.43,48.47,99.1,1070,380.3,51.18,18.3,1.22,0,18.49,24.13,0.079
"2022-03-20 00:00:00",646,0.733,102,26.46,4.925,18.43,29.06,46.81,96.3,1282,358.4,57.45,17.23,1.143,0,18.98,24.48,0.071
"2022-03-21 00:00:00",647,0.579,106.3,17.28,4.85,18.83,29.29,48.62,96.8,1067,368.7,50.77,17.71,1.126,0,19.59,24.61,0.065
"2022-03-22 00:00:00",648,0.524,106.1,17.52,4.25,18.51,29.27,46.04,94.1,1085,333.4,51.48,16.45,1.029,0,18.8,24.57,0.06
"2022-03-23 00:00:00",649,0.42,67.64,17.45,4.475,20.11,29.79,47.52,98.6,1240,339.4,54.82,16.83,1.072,0.762,20.69,25.64,0.055
"2022-03-24 00:00:00",650,0.591,37.16,15.56,5.375,19.6,30.56,53.73,98.7,1190,343.8,52.19,16.3,1.052,0.254,20.6,26.04,0.05
"2022-03-25 00:00:00",651,0.986,337,66.23,5.975,18.49,35.6,39.62,100,881,329.4,41.87,15.22,0.992,6.858,19.87,27.2,0.044
"2022-03-26 00:00:00",652,0.563,164.1,26.77,4.55,19.66,30.25,61.46,100,1239,329.9,55.43,16.03,1.012,0.508,20.64,25.78,0.05
"2022-03-27 00:00:00",653,0.231,158.6,13.61,2.75,21.08,28.72,68.69,99.9,1265,206.9,56.64,11.01,0.681,0.254,22.02,25.07,0.05
"2022-03-28 00:00:00",654,0.415,162,24.26,3.275,20.08,30.95,54.43,100,1251,279.3,52.9,13.77,0.892,0,20.61,25.38,0.048
"2022-03-29 00:00:00",655,0.673,35.11,22.57,5.15,20.3,29.62,64.91,100,1220,308.3,55.83,15.17,0.949,4.064,21.83,25.48,0.047
