"TOA5","88296","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2021-02-10 14:50:00",70297,2.175,74.62,33.87,30.99,69.21,804,39.44,0,34.71
"2021-02-10 14:55:00",70298,2.045,87.4,29.76,30.94,66.29,788.8,38.64,0,35.18
"2021-02-10 15:00:00",70299,2.478,73.92,27.64,30.43,69.67,782.3,38.12,0,35.36
"2021-02-10 15:05:00",70300,2.102,75.59,27.23,30.35,67.73,753.9,36.91,0,35.12
"2021-02-10 15:10:00",70301,1.945,84.2,28.63,30.71,65.13,734.7,35.91,0,35.22
"2021-02-10 15:15:00",70302,2.016,92.8,37.12,30.66,66.07,718.3,35,0,35.12
"2021-02-10 15:20:00",70303,1.866,87.7,40.47,30.92,64.73,701.7,34.06,0,35.22
"2021-02-10 15:25:00",70304,1.978,80.4,32.52,30.55,66.37,685.4,33.2,0.254,35.22
"2021-02-10 15:30:00",70305,1.74,94.2,37.25,30.9,66.92,667.4,32.19,0,34.72
"2021-02-10 15:35:00",70306,1.925,94.9,38.65,30.79,66.29,650,31.14,0,34.98
"2021-02-10 15:40:00",70307,1.753,115.5,40.02,30.66,67.08,620.7,28.38,0.254,34.82
"2021-02-10 15:45:00",70308,1.373,99.9,43.55,31.15,64.99,609.6,29.47,0,34.9
"2021-02-10 15:50:00",70309,1.615,95.5,56.8,30.85,67.37,599.1,28.34,0,34.88
"2021-02-10 15:55:00",70310,1.928,90.8,37.39,30.84,67.18,580.4,27.33,0,34.66
"2021-02-10 16:00:00",70311,2.088,89.2,54.93,30.49,68.96,563,26.35,0,34.61
"2021-02-10 16:05:00",70312,1.18,143.5,49.05,30.53,69.15,543.3,25.29,0,34.2
"2021-02-10 16:10:00",70313,2.203,80.4,24.19,30.56,69.93,523,24.17,0,33.93
"2021-02-10 16:15:00",70314,1.113,87.4,26.1,30.58,68.48,504,23.14,0,33.87
"2021-02-10 16:20:00",70315,1.608,97.5,50.68,30.68,66.03,489,22.12,0,33.87
"2021-02-10 16:25:00",70316,1.93,99.2,36.57,30.47,66.94,475.3,21.16,0,33.61
"2021-02-10 16:30:00",70317,2.315,75.09,25.48,30.15,67.93,466.4,20.23,0,33.2
"2021-02-10 16:35:00",70318,1.81,92.4,45.32,29.93,69.5,293.3,15.87,0,32.67
"2021-02-10 16:40:00",70319,1.153,110.4,43.19,29.22,72.56,107.3,11.55,0,31.82
"2021-02-10 16:45:00",70320,1.443,81.8,28.66,28.91,73.35,341,15.74,0,31.25
"2021-02-10 16:50:00",70321,2.38,77.08,21.94,29.61,71.22,434.8,16.51,0,31.7
"2021-02-10 16:55:00",70322,2.173,81.6,25.88,29.59,73.42,262.7,13.25,0,31.78
"2021-02-10 17:00:00",70323,2.272,75.24,24.5,29.16,74.51,336.9,13.74,0,31.39
"2021-02-10 17:05:00",70324,2.07,76.55,20.82,29.18,76.16,119.8,9.83,0,31.27
"2021-02-10 17:10:00",70325,1.85,91.4,22.26,28.39,78.6,87.1,8.54,0,30.52
"2021-02-10 17:15:00",70326,2.175,82,20.45,28.09,79.74,129,8.6,0,29.94
"2021-02-10 17:20:00",70327,1.765,79.8,24.41,28.22,79.03,218.8,9.16,0,29.81
"2021-02-10 17:25:00",70328,1.645,75.87,21.69,28.82,76.54,264.4,8.98,0,29.96
"2021-02-10 17:30:00",70329,1.97,79.85,27.17,28.79,77.16,168.8,7.61,0,29.83
"2021-02-10 17:35:00",70330,2.395,78.98,30.81,28.38,78.86,104,6.511,0,29.64
"2021-02-10 17:40:00",70331,1.878,82.9,31.04,28.06,80.6,59.26,5.567,0,29.27
"2021-02-10 17:45:00",70332,1.958,83.9,27.32,27.94,81.2,47.97,5.041,0,28.95
"2021-02-10 17:50:00",70333,1.587,96.8,32.81,27.84,81.4,43.9,4.495,0,28.7
"2021-02-10 17:55:00",70334,1.975,73.95,21.23,27.75,81.6,41.08,3.949,0,28.52
"2021-02-10 18:00:00",70335,1.68,84.5,22.75,27.67,82,34,3.419,0,28.39
"2021-02-10 18:05:00",70336,1.591,84,27.76,27.49,81.8,28.95,2.89,0,28.22
"2021-02-10 18:10:00",70337,1.313,79.32,18.75,27.39,82.6,23.84,2.391,0,28.09
"2021-02-10 18:15:00",70338,0.993,80.5,25.16,27.23,83.3,17.65,1.895,0,27.97
"2021-02-10 18:20:00",70339,0.743,99.3,31.76,27.09,84,13.63,1.453,0,27.86
"2021-02-10 18:25:00",70340,0.933,93,29.31,26.94,84.1,9.78,1.123,0,27.71
"2021-02-10 18:30:00",70341,0.597,93.9,27.99,26.82,84.5,4.693,0.806,0,27.55
"2021-02-10 18:35:00",70342,0.137,142.2,13.4,26.64,85.3,1.251,0.502,0,27.5
"2021-02-10 18:40:00",70343,0.07,143.2,7.394,26.38,86.7,0,0.297,0,27.32
"2021-02-10 18:45:00",70344,0.334,170.7,12.41,26.12,87.6,0,0.128,0,27.11
"2021-02-10 18:50:00",70345,0.014,176.5,0.003,25.96,88.3,0,0.101,0,27.01
"2021-02-10 18:55:00",70346,0,0,0,25.78,89.1,0,0.01,0,26.93
"2021-02-10 19:00:00",70347,0,0,0,25.6,89.8,0,0,0,26.84
"2021-02-10 19:05:00",70348,0.05,176.4,1.027,25.51,90,0,0,0,26.64
"2021-02-10 19:10:00",70349,0,0,0,25.45,90.4,0,0,0,26.55
"2021-02-10 19:15:00",70350,0.033,197.1,5.592,25.36,90.7,0,0,0,26.39
"2021-02-10 19:20:00",70351,0.138,207.2,5.677,25.3,91.1,0,0,0,26.24
"2021-02-10 19:25:00",70352,0.058,190.2,1.234,25.23,91.3,0,0,0,26.17
"2021-02-10 19:30:00",70353,0.021,151.4,5.799,25.17,91.5,0,0,0,26.07
"2021-02-10 19:35:00",70354,0,0,0,25.08,91.9,0,0,0,26.01
"2021-02-10 19:40:00",70355,0.03,196.8,0.006,24.96,92.4,0,0,0,25.93
"2021-02-10 19:45:00",70356,0,0,0,24.84,92.9,0,0,0,25.93
"2021-02-10 19:50:00",70357,0,0,0,24.71,93.3,0,0,0,25.85
"2021-02-10 19:55:00",70358,0.009,199.3,0,24.65,93.6,0,0,0,25.74
"2021-02-10 20:00:00",70359,0,0,0,24.62,93.7,0,0,0,25.68
"2021-02-10 20:05:00",70360,0,0,0,24.61,93.8,0,0,0,25.64
"2021-02-10 20:10:00",70361,0.028,167.1,1.651,24.57,94,0,0,0,25.59
"2021-02-10 20:15:00",70362,0,0,0,24.56,94.2,0,0,0,25.57
"2021-02-10 20:20:00",70363,0.068,186.7,8.13,24.62,94,0,0,0,25.53
"2021-02-10 20:25:00",70364,0.165,187.6,10.21,24.66,93.8,0,0,0,25.46
"2021-02-10 20:30:00",70365,0.055,176.6,5.313,24.64,93.9,0,0,0,25.42
"2021-02-10 20:35:00",70366,0.127,195.3,10.84,24.6,94.1,0,0,0,25.36
"2021-02-10 20:40:00",70367,0.031,199.3,2.128,24.57,94.4,0,0,0,25.34
"2021-02-10 20:45:00",70368,0.014,218.9,0,24.57,94.5,0,0,0,25.38
"2021-02-10 20:50:00",70369,0.113,206.6,6.066,24.64,94.3,0,0,0,25.38
"2021-02-10 20:55:00",70370,0,0,0,24.62,94.1,0,0,0,25.36
"2021-02-10 21:00:00",70371,0,0,0,24.53,94.2,0,0,0,25.41
"2021-02-10 21:05:00",70372,0,0,0,24.45,94.5,0,0,0,25.41
"2021-02-10 21:10:00",70373,0,0,0,24.36,94.7,0,0,0,25.41
"2021-02-10 21:15:00",70374,0,0,0,24.27,95,0,0,0,25.35
"2021-02-10 21:20:00",70375,0,0,0,24.22,95.4,0,0,0,25.29
"2021-02-10 21:25:00",70376,0,0,0,24.15,95.6,0,0,0,25.21
"2021-02-10 21:30:00",70377,0,0,0,24.08,95.9,0,0,0,25.16
"2021-02-10 21:35:00",70378,0,0,0,24.06,96.1,0,0,0,25.09
"2021-02-10 21:40:00",70379,0,0,0,24.04,96.3,0,0,0,25.06
"2021-02-10 21:45:00",70380,0,0,0,24.04,96.4,0,0,0,25.01
"2021-02-10 21:50:00",70381,0,0,0,24.08,96.5,0,0,0,24.97
"2021-02-10 21:55:00",70382,0,0,0,24.19,96.6,0,0,0,25.05
"2021-02-10 22:00:00",70383,0.021,223.5,0.726,24.25,96.5,0,0,0,25.1
"2021-02-10 22:05:00",70384,0,0,0,24.25,96.5,0,0,0,25.14
"2021-02-10 22:10:00",70385,0,0,0,24.21,96.5,0,0,0,25.16
"2021-02-10 22:15:00",70386,0,0,0,24.19,96.6,0,0,0,25.16
"2021-02-10 22:20:00",70387,0,0,0,24.18,96.7,0,0,0,25.11
"2021-02-10 22:25:00",70388,0,0,0,24.16,96.8,0,0,0,25.06
"2021-02-10 22:30:00",70389,0,0,0,24.14,96.9,0,0,0,25.01
"2021-02-10 22:35:00",70390,0,0,0,24.1,97,0,0,0,24.99
"2021-02-10 22:40:00",70391,0.215,221.4,6.838,24.06,97.1,0,0,0,24.93
"2021-02-10 22:45:00",70392,0.021,214.1,0.27,24.05,97.2,0,0,0,24.88
"2021-02-10 22:50:00",70393,0.026,214.7,1.777,24.01,97.3,0,0,0,24.89
"2021-02-10 22:55:00",70394,0,0,0,23.93,97.3,0,0,0,24.86
"2021-02-10 23:00:00",70395,0,0,0,23.84,97.4,0,0,0,24.85
"2021-02-10 23:05:00",70396,0,0,0,23.85,97.6,0,0,0,24.82
"2021-02-10 23:10:00",70397,0,0,0,23.9,97.6,0,0,0,24.85
"2021-02-10 23:15:00",70398,0,0,0,23.94,97.6,0,0,0,24.85
