"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2022-04-12 14:05:00",192976,1.4,2.565,10.82,30.72,52.17,656.8,31.5,0,34.09
"2022-04-12 14:10:00",192977,0.764,358.1,6.245,30.72,52.36,615.7,30.05,0,33.92
"2022-04-12 14:15:00",192978,0.802,333,13.11,31.26,49.81,632.6,30.73,0,33.93
"2022-04-12 14:20:00",192979,1.236,344.6,15.23,31,46.01,618.7,30.04,0,33.71
"2022-04-12 14:25:00",192980,0.848,319.8,10.65,30.92,48.59,605.7,29.29,0,33.65
"2022-04-12 14:30:00",192981,1.278,301.5,9.35,30.94,48.74,591.7,28.44,0,33.58
"2022-04-12 14:35:00",192982,0.195,291.2,0.047,31.1,47.71,573.8,27.62,0,33.11
"2022-04-12 14:40:00",192983,0.617,273.9,20.67,31.51,46.51,558.1,26.74,0,32.96
"2022-04-12 14:45:00",192984,0.235,268.2,3.977,31.55,47.64,541.4,25.84,0,32.63
"2022-04-12 14:50:00",192985,0.992,282,14.39,31.26,50.38,526.1,24.91,0,32.74
"2022-04-12 14:55:00",192986,0.947,340,26.71,31.02,51,503.7,23.67,0,32.74
"2022-04-12 15:00:00",192987,1.203,30.57,8.39,30.64,53.45,490.3,22.88,0,32.47
"2022-04-12 15:05:00",192988,1.382,34.7,7.13,30.6,51.58,472.3,21.87,0,32.22
"2022-04-12 15:10:00",192989,1.003,54.95,6.417,30.87,54.25,452,20.84,0,31.93
"2022-04-12 15:15:00",192990,1.438,31.37,7.391,30.74,54.35,435.6,19.95,0,31.84
"2022-04-12 15:20:00",192991,1.153,35.82,7.739,30.25,53.9,420.3,19.15,0,31.77
"2022-04-12 15:25:00",192992,1.413,37.34,8.29,30.34,52.97,405,18.3,0,31.67
"2022-04-12 15:30:00",192993,0.985,36.85,6.614,30.45,54.92,387.2,17.4,0,31.44
"2022-04-12 15:35:00",192994,1.705,37.59,6.454,30.19,60.49,368.4,16.42,0,31.4
"2022-04-12 15:40:00",192995,1.535,31.21,8.31,29.68,60.56,349.6,15.46,0,31.33
"2022-04-12 15:45:00",192996,1.44,28.49,6.665,29.64,60.82,331.3,14.6,0,31.17
"2022-04-12 15:50:00",192997,1.446,30.93,7.71,29.62,61.1,313,13.69,0,30.91
"2022-04-12 15:55:00",192998,1.8,32.86,7.656,29.37,66.49,291.6,12.69,0,30.57
"2022-04-12 16:00:00",192999,1.575,34.58,9.19,29.04,68.38,273.6,11.8,0,30.22
"2022-04-12 16:05:00",193000,1.99,37.2,11.1,28.62,69.75,253.8,10.85,0,29.77
"2022-04-12 16:10:00",193001,1.5,27.42,9.19,28.32,70.53,235,10.04,0,29.1
"2022-04-12 16:15:00",193002,1.551,24.49,9.35,28.17,71.33,213.3,9.11,0,28.47
"2022-04-12 16:20:00",193003,1.972,28.16,8.65,27.86,71.6,195.9,8.32,0,27.91
"2022-04-12 16:25:00",193004,1.893,28.8,7.751,27.46,73.04,177.7,7.538,0,27.33
"2022-04-12 16:30:00",193005,1.575,29.25,7.907,27.21,74.99,146.2,6.682,0,26.95
"2022-04-12 16:35:00",193006,1.525,28.61,8.83,26.88,76.17,86,5.792,0,26.63
"2022-04-12 16:40:00",193007,1.805,28.21,9.57,26.78,76.8,76.12,5.155,0,26.4
"2022-04-12 16:45:00",193008,1.778,26.6,8.93,26.51,77.79,60.92,4.622,0,26.12
"2022-04-12 16:50:00",193009,1.88,23.93,8.23,26.21,79.24,48.53,4.052,0,25.84
"2022-04-12 16:55:00",193010,1.211,24.99,6.567,25.97,80.8,42.23,3.506,0,25.69
"2022-04-12 17:00:00",193011,1.073,29.75,6.284,25.79,81.5,36.49,2.957,0,25.54
"2022-04-12 17:05:00",193012,0.758,28.95,6.009,25.62,82.7,31.51,2.458,0,25.46
"2022-04-12 17:10:00",193013,0.632,25.3,3.841,25.45,83.3,26.44,1.986,0,25.38
"2022-04-12 17:15:00",193014,0.548,32.07,3.887,25.28,84.9,21.1,1.544,0,25.28
"2022-04-12 17:20:00",193015,0.422,26.53,4.15,25.05,85.8,15.44,1.187,0,25.18
"2022-04-12 17:25:00",193016,0.137,26.04,0.532,24.86,87.1,9.55,0.897,0,25.13
"2022-04-12 17:30:00",193017,0.263,29.81,0.215,24.62,88.2,4.819,0.604,0,25.02
"2022-04-12 17:35:00",193018,0.456,33.7,1.712,24.37,89.5,1.352,0.368,0,24.82
"2022-04-12 17:40:00",193019,0.394,32.76,2.577,24.13,90.2,0,0.185,0,24.63
"2022-04-12 17:45:00",193020,0.38,30.61,2.68,24.03,90.6,0,0.101,0,24.45
"2022-04-12 17:50:00",193021,0.553,25.11,4.224,23.98,90.5,0,0.024,0,24.26
"2022-04-12 17:55:00",193022,0.228,22.85,1.37,24,90.8,0,0,0,24.16
"2022-04-12 18:00:00",193023,0.188,24.89,0.958,23.86,91.6,0,0,0,24.07
"2022-04-12 18:05:00",193024,0.135,23.84,1.063,23.7,92.4,0,0,0,24
"2022-04-12 18:10:00",193025,0.014,24.86,0,23.57,92.9,0,0,0,23.95
"2022-04-12 18:15:00",193026,0,0,0,23.38,93.6,0,0,0,23.87
"2022-04-12 18:20:00",193027,0.144,26.88,1.072,23.29,94.2,0,0,0,23.73
"2022-04-12 18:25:00",193028,0.323,22.91,3.723,23.36,94,0,0,0,23.59
"2022-04-12 18:30:00",193029,0.407,23.54,2.682,23.38,94.3,0,0,0,23.58
"2022-04-12 18:35:00",193030,0.146,30.31,1.587,23.39,94.6,0,0,0,23.56
"2022-04-12 18:40:00",193031,0.053,32.85,0,23.33,94.9,0,0,0,23.55
"2022-04-12 18:45:00",193032,0,0,0,23.25,95.2,0,0,0,23.53
"2022-04-12 18:50:00",193033,0.009,32.57,0,23.17,95.7,0,0,0,23.45
"2022-04-12 18:55:00",193034,0.052,21.95,0.03,23.11,95.9,0,0,0,23.38
"2022-04-12 19:00:00",193035,0.228,22.95,0.513,23.07,96,0,0,0,23.29
"2022-04-12 19:05:00",193036,0.038,25.71,0.025,22.98,96.4,0,0,0,23.23
"2022-04-12 19:10:00",193037,0.018,23.71,0,22.93,96.7,0,0,0,23.2
"2022-04-12 19:15:00",193038,0,0,0,22.91,97,0,0,0,23.17
"2022-04-12 19:20:00",193039,0.071,23.81,0.024,22.92,97.2,0,0,0,23.16
"2022-04-12 19:25:00",193040,0.06,24.79,0.199,22.96,97.1,0,0,0,23.15
"2022-04-12 19:30:00",193041,0.047,25.36,0.005,22.91,97.3,0,0,0,23.16
"2022-04-12 19:35:00",193042,0,0,0,22.88,97.4,0,0,0,23.17
"2022-04-12 19:40:00",193043,0,0,0,22.9,97.4,0,0,0,23.16
"2022-04-12 19:45:00",193044,0,0,0,22.93,97.3,0,0,0,23.14
"2022-04-12 19:50:00",193045,0,0,0,22.88,97.3,0,0,0,23.14
"2022-04-12 19:55:00",193046,0,0,0,22.78,97.7,0,0,0,23.14
"2022-04-12 20:00:00",193047,0,0,0,22.73,98,0,0,0,23.09
"2022-04-12 20:05:00",193048,0,0,0,22.71,97.9,0,0,0,23.04
"2022-04-12 20:10:00",193049,0,0,0,22.66,98.1,0,0,0,23.02
"2022-04-12 20:15:00",193050,0,0,0,22.64,98.3,0,0,0,23.01
"2022-04-12 20:20:00",193051,0,0,0,22.64,98.4,0,0,0,23.02
"2022-04-12 20:25:00",193052,0,0,0,22.65,98.6,0,0,0,23.02
"2022-04-12 20:30:00",193053,0,0,0,22.72,98.6,0,0,0,23.01
"2022-04-12 20:35:00",193054,0,0,0,22.69,98.6,0,0,0,23.01
"2022-04-12 20:40:00",193055,0,0,0,22.62,98.5,0,0,0,23.02
"2022-04-12 20:45:00",193056,0,0,0,22.55,98.8,0,0,0,23.05
"2022-04-12 20:50:00",193057,0.115,24.72,0.08,22.7,98.8,0,0,0,23.05
"2022-04-12 20:55:00",193058,0.086,26.77,1.066,22.82,98.5,0,0,0,23.05
"2022-04-12 21:00:00",193059,0,0,0,22.84,98.5,0,0,0,23.08
"2022-04-12 21:05:00",193060,0,0,0,22.91,98.3,0,0,0,23.07
"2022-04-12 21:10:00",193061,0,0,0,22.89,98.3,0,0,0,23.08
"2022-04-12 21:15:00",193062,0,0,0,22.77,98.5,0,0,0,23.09
"2022-04-12 21:20:00",193063,0,0,0,22.69,98.7,0,0,0,23.08
"2022-04-12 21:25:00",193064,0,0,0,22.58,98.7,0,0,0,23.07
"2022-04-12 21:30:00",193065,0,0,0,22.42,99,0,0,0,23.06
"2022-04-12 21:35:00",193066,0,0,0,22.37,99.2,0,0,0,23.04
"2022-04-12 21:40:00",193067,0,0,0,22.3,99.3,0,0,0,23.01
"2022-04-12 21:45:00",193068,0,0,0,22.29,99.7,0,0,0,22.98
"2022-04-12 21:50:00",193069,0,0,0,22.4,99.8,0,0,0,22.95
"2022-04-12 21:55:00",193070,0,0,0,22.54,99.9,0,0,0,22.89
"2022-04-12 22:00:00",193071,0.075,25.2,0.02,22.73,99.7,0,0,0,22.83
"2022-04-12 22:05:00",193072,0.253,25.2,0.042,22.79,99.3,0,0,0,22.78
"2022-04-12 22:10:00",193073,0.164,25.77,0.149,22.79,99,0,0,0,22.77
"2022-04-12 22:15:00",193074,0,0,0,22.67,99.1,0,0,0,22.8
"2022-04-12 22:20:00",193075,0.009,25.24,0.004,22.65,99.4,0,0,0,22.78
"2022-04-12 22:25:00",193076,0.07,24.72,0.228,22.66,99.5,0,0,0,22.75
"2022-04-12 22:30:00",193077,0.07,23.9,0.078,22.65,99.5,0,0,0,22.74
