"TOA5","88296","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2021-02-10 15:00:00",5858,13.96,100.6378,1.981,85.9,41.18,30.81,69.67,836,41.79,0,34.34,34.95,0.085
"2021-02-10 16:00:00",5859,13.88,100.6134,1.861,91.3,41.22,30.74,68.96,657,31.52,0.508,34.23,34.95,0.083
"2021-02-10 17:00:00",5860,13.34,100.5972,1.798,89.6,38.61,29.95,74.51,398.1,18.56,0,31.12,32.77,0.082
"2021-02-10 18:00:00",5861,12.99,100.6216,1.912,82.1,26.24,28.26,82,109.9,6.809,0,28.33,29.57,0.081
"2021-02-10 19:00:00",5862,12.88,100.6545,0.56,97.4,28.7,26.62,89.8,8.32,0.966,0,26.75,27.51,0.08
"2021-02-10 20:00:00",5863,12.94,100.71,0.028,193.8,4.976,25.07,93.7,0,0,0,25.65,26.1,0.08
"2021-02-10 21:00:00",5864,12.86,100.76,0.05,192.6,6.596,24.6,94.2,0,0,0,25.32,25.45,0.079
"2021-02-10 22:00:00",5865,12.86,100.7844,0.002,223.5,0.209,24.18,96.5,0,0,0,24.94,25.18,0.079
"2021-02-10 23:00:00",5866,12.84,100.7519,0.022,219.6,2.138,24.09,97.4,0,0,0,24.82,25,0.078
"2021-02-11 00:00:00",5867,12.84,100.7357,0.002,169.5,2.581,23.81,97.8,0,0,0,24.44,24.69,0.078
"2021-02-11 01:00:00",5868,12.87,100.7113,0.006,203.7,1.412,23.54,97.9,0,0,0,24.21,24.31,0.077
"2021-02-11 02:00:00",5869,12.8,100.6707,0.148,209.1,9.75,23.7,97,0,0,0,24.22,24.35,0.077
"2021-02-11 03:00:00",5870,12.79,100.6301,0.359,207.1,18.75,23.72,98,0,0,0,23.91,24.21,0.077
"2021-02-11 04:00:00",5871,12.77,100.6058,0.186,195,18.8,23.3,99,0,0,0,23.76,23.84,0.077
"2021-02-11 05:00:00",5872,12.76,100.6139,0.667,210.6,27.12,23.12,99.2,0,0,0,23.51,23.59,0.076
"2021-02-11 06:00:00",5873,12.79,100.6301,0.694,204.6,24.3,23.02,99.3,13.86,0.609,0,23.32,23.44,0.076
"2021-02-11 07:00:00",5874,12.83,100.659,0.823,201.4,29.1,24.59,92.2,169.7,6.601,0,23.77,25.42,0.076
"2021-02-11 08:00:00",5875,13.5,100.6865,0.937,181.2,39.76,26.66,85.7,344.8,16.57,0,26.62,27.42,0.075
"2021-02-11 09:00:00",5876,13.57,100.719,1.235,156.4,49.68,28.64,71.96,539.8,26.91,0,27.72,29.06,0.075
"2021-02-11 10:00:00",5877,13.97,100.7027,1.309,157.2,47.65,28.18,74.4,561.6,30.41,0,27.95,29.53,0.075
