"TOA5","Science Centre AWS","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2022-03-07 17:00:00",15220,14.13,100.5095,2.434,46.31,21.68,28.2,69.93,347.3,15.18,0,30.02,31.65,0.073
"2022-03-07 18:00:00",15221,12.97,100.4659,1.809,51.02,18.16,26.46,81.3,84.4,4.702,0,26.54,27.77,0.073
"2022-03-07 19:00:00",15222,12.93,100.4754,0.488,51.78,0.016,24.4,88.7,1.031,0.204,0,25.48,25.95,0.072
"2022-03-07 20:00:00",15223,12.93,100.5972,0.248,51.79,0.046,23.6,90.6,0,0,0,24.84,25.12,0.072
"2022-03-07 21:00:00",15224,12.93,100.654,0.003,51.8,0.001,22.85,95.1,0,0,0,23.79,24.46,0.072
"2022-03-07 22:00:00",15225,12.89,100.6867,0,0,0,22.2,96.6,0,0,0,23.17,23.62,0.071
"2022-03-07 23:00:00",15226,12.9,100.7123,0.002,51.8,0.001,21.73,98.9,0,0,0,23.01,23.19,0.071
"2022-03-08 00:00:00",15227,12.88,100.6825,0.001,51.81,0,21.32,99.6,0,0,0,22.63,23.04,0.071
"2022-03-08 01:00:00",15228,12.87,100.667,0.005,51.8,0.003,21.25,99.7,0,0,0,22.49,22.62,0.071
"2022-03-08 02:00:00",15229,12.86,100.6321,0.067,51.79,0.008,21.26,98.7,0,0,0,22.42,22.53,0.071
"2022-03-08 03:00:00",15230,12.85,100.6217,0.056,51.78,0,21.59,97.2,0,0,0,22.57,22.68,0.071
"2022-03-08 04:00:00",15231,12.83,100.6056,0.008,51.8,0.003,21.91,98.6,0,0,0,22.76,23.23,0.071
"2022-03-08 05:00:00",15232,12.81,100.6784,0.006,51.81,0.004,21.48,98.6,0,0,0,23.1,23.23,0.071
"2022-03-08 06:00:00",15233,12.79,100.7352,0,0,0,21.49,99.1,1.811,0.121,0,23.15,23.38,0.07
"2022-03-08 07:00:00",15234,12.79,100.7596,0,0,0,23.03,90.5,62.46,2.543,0,23.79,24.18,0.07
"2022-03-08 08:00:00",15235,13.03,100.8315,0.133,51.79,0.021,24.63,89.8,144.9,7.683,0,24.76,25.14,0.07
"2022-03-08 09:00:00",15236,13.49,100.8328,0.284,62.68,14.69,26.37,76.24,382.5,19.66,0,25.54,27.03,0.07
"2022-03-08 10:00:00",15237,14,100.8078,0.505,45.73,73.53,28.09,73.61,493.4,26.96,0,28.34,29.52,0.07
"2022-03-08 11:00:00",15238,13.95,100.7514,0.646,14.44,46.3,29.19,62.73,728.7,35.92,0,30.07,32.1,0.07
"2022-03-08 12:00:00",15239,13.96,100.7271,0.464,35.08,15.98,28.9,83.7,341.3,18.87,0,29.3,32.14,0.069
