"TOA5","CR1000_Vasi Science Centre AWS","CR1000","84923","CR1000.Std.31.02","CPU:Vasi_Science Centre AWS.CR1","64103","Five_mins"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C"
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Avg"
"2018-11-07 14:40:00",0,2.27,148.5,40.45,21.84,59.71,443.8,23.67,0.762,22.6
"2018-11-07 14:45:00",1,3.1,170.2,47.25,22.23,58.05,447.2,23.69,0,22.98
"2018-11-07 14:50:00",2,4.045,164.3,33.99,21.78,60.35,413.4,22.64,0,22.65
"2018-11-07 14:55:00",3,3.055,135.7,34.12,21.49,60.75,428.5,23.12,0,22.35
"2018-11-07 15:00:00",4,3.417,153.1,34.76,21.56,60.33,436.3,22.73,0,22.46
"2018-11-07 15:05:00",5,3.428,155,35.68,21.59,60.25,388.2,20.74,0,22.41
"2018-11-07 15:10:00",6,3.085,172.9,38.8,21.5,61.64,354.9,19.49,0,22.37
"2018-11-07 15:15:00",7,2.79,149.9,38.18,21.59,62.15,344.5,18.83,0,22.41
"2018-11-07 15:20:00",8,3.107,138.3,31.48,21.36,65.19,341.4,18.7,0,22.13
"2018-11-07 15:25:00",9,3.15,165.3,47.07,21.33,63.51,277.1,14.36,0,22.07
"2018-11-07 15:30:00",10,3.377,164.7,37.61,21.04,59.53,325.1,17.71,0,21.68
"2018-11-07 15:35:00",11,2.87,163.5,33.31,21.73,55.86,717.5,27.74,0,22.58
"2018-11-07 15:40:00",12,2.633,151.1,38.7,22.85,55.58,695.9,26.46,0,23.93
"2018-11-07 15:45:00",13,3.438,157,35.43,22.77,53.88,676.2,25,0,24.14
"2018-11-07 15:50:00",14,3.27,158.9,35.81,22.22,56,374.4,17.63,0,23.58
"2018-11-07 15:55:00",15,2.805,166.3,46.27,21.37,60.4,230.1,12.8,0,22.31
"2018-11-07 16:00:00",16,2.825,149.1,30.01,20.92,60.36,211.2,11.45,0,21.54
"2018-11-07 16:05:00",17,3.38,150.2,32.91,20.99,63.79,275.6,12.67,0,21.54
"2018-11-07 16:10:00",18,3.18,147.9,45.66,20.8,64.41,228,11.76,0,21.4
"2018-11-07 16:15:00",19,2.595,146.3,41.07,20.74,60.57,200.3,11.02,0,21.26
"2018-11-07 16:20:00",20,2.99,152.5,36.9,20.58,59.45,180.7,10.43,0,20.95
"2018-11-07 16:25:00",21,2.553,153.3,35.68,20.56,60.71,198.6,10.36,0,20.89
"2018-11-07 16:30:00",22,2.238,148.7,36.7,20.55,61.24,227.2,10.8,0,20.91
"2018-11-07 16:35:00",23,2.528,148.8,34.77,20.82,60.66,319.4,11.52,0,21.21
"2018-11-07 16:40:00",24,3.145,152.8,37.55,21.29,60.64,408.9,11.97,0,21.7
"2018-11-07 16:45:00",25,3.048,146.8,25.42,21.51,62.73,381.3,11.71,0,21.72
"2018-11-07 16:50:00",26,2.845,151.5,28.62,21.55,62.59,306.6,10.39,0,21.64
"2018-11-07 16:55:00",27,2.415,150,32.36,21.47,61.73,247.2,9.02,0,21.43
"2018-11-07 17:00:00",28,2.7,155.4,34.86,21.11,63.55,220.1,8.08,0,20.98
"2018-11-07 17:05:00",29,2.355,155.2,40.56,20.92,65.97,190.2,7.273,0,20.69
"2018-11-07 17:10:00",30,2.173,151.2,38.29,20.69,66.9,88.7,6.028,0,20.51
"2018-11-07 17:15:00",31,2.003,151.8,29.64,20.51,66.55,75.92,5.371,0,20.39
"2018-11-07 17:20:00",32,2.733,142.9,29.46,20.4,66.49,79.69,4.951,0,20.31
"2018-11-07 17:25:00",33,2.722,146.4,33.37,20.41,64.01,77.16,4.525,0,20.27
"2018-11-07 17:30:00",34,2.315,160.1,22.21,20.36,61.11,58.97,3.74,0,20.2
"2018-11-07 17:35:00",35,1.75,147.3,38.85,20.22,63.29,41.92,3.127,0,20.03
"2018-11-07 17:40:00",36,1.813,142.2,26.13,19.96,65,34.75,2.603,0,19.74
"2018-11-07 17:45:00",37,2.273,147.7,35.68,19.8,65.63,26.88,2.116,0,19.57
"2018-11-07 17:50:00",38,1.608,150.9,39.98,19.62,66.52,21.82,1.669,0,19.4
"2018-11-07 17:55:00",39,1.643,158.1,40.86,19.45,65.11,17.52,1.266,0,19.19
"2018-11-07 18:00:00",40,2.623,156.2,27.58,19.62,64.24,11.44,0.978,0,19.27
"2018-11-07 18:05:00",41,1.475,160.4,38.39,19.46,65.52,5.121,0.667,0,19.18
"2018-11-07 18:10:00",42,1.748,154,23.58,19.25,65.96,2.784,0.41,0,18.96
"2018-11-07 18:15:00",43,1.34,147.2,31.88,19.13,68.89,0.278,0.244,0,18.82
"2018-11-07 18:20:00",44,1.595,162.6,41.59,18.99,70.5,0,0.108,0,18.61
"2018-11-07 18:25:00",45,0.862,193.1,25.11,18.9,70.76,0,0.041,0,18.52
"2018-11-07 18:30:00",46,0.844,176.3,24.94,18.53,71.9,0,0,0,18.21
"2018-11-07 18:35:00",47,0.784,179.1,21.74,18.35,72.24,0,0,0,17.99
"2018-11-07 18:40:00",48,1.128,166.2,35.64,18.21,71.36,0,0,0,17.82
"2018-11-07 18:45:00",49,1.693,176.2,26.36,18.28,69.75,0,0,0,17.85
"2018-11-07 18:50:00",50,0.775,186.9,27.54,18.25,70.16,0,0,0,17.9
"2018-11-07 18:55:00",51,1.41,193.9,29.66,18.23,69.66,0,0,0,17.9
"2018-11-07 19:00:00",52,1.034,182.5,27.39,18.23,71.03,0,0,0,17.94
"2018-11-07 19:05:00",53,1.102,187.1,21.24,18.08,72.05,0,0,0,17.81
"2018-11-07 19:10:00",54,1.066,163.8,33.51,17.94,73.14,0,0,0,17.67
"2018-11-07 19:15:00",55,0.963,157,38.4,17.9,72.81,0,0,0,17.7
"2018-11-07 19:20:00",56,2.11,174.4,42.37,17.52,84,0,0,0,17.46
"2018-11-07 19:25:00",57,1.343,171.8,39.35,16.74,86.3,0,0,0,16.77
"2018-11-07 19:30:00",58,0.944,153.6,29.07,16.44,87.3,0,0,0,16.38
"2018-11-07 19:35:00",59,0.982,182.6,30.73,16.35,87.8,0,0,0,16.2
"2018-11-07 19:40:00",60,0.988,192.3,25.01,16.23,88.9,0,0,0,16.06
"2018-11-07 19:45:00",61,1.156,187.2,33.45,16.11,89.4,0,0,0,15.94
"2018-11-07 19:50:00",62,0.958,190.8,31.91,16.02,89.6,0,0,0,15.86
"2018-11-07 19:55:00",63,1.069,195.9,17.4,16.09,88.4,0,0,0,15.87
"2018-11-07 20:00:00",64,0.831,196.6,16.29,16.16,87.2,0,0,0,15.88
"2018-11-07 20:05:00",65,1.243,198,22.53,16.31,86.1,0,0,0,15.98
"2018-11-07 20:10:00",66,1.303,197.4,24.94,16.4,85.3,0,0,0,16.04
"2018-11-07 20:15:00",67,1.123,199.7,19.01,16.49,85,0,0,0,16.11
"2018-11-07 20:20:00",68,0.94,200.8,22.68,16.59,84.5,0,0,0,16.19
"2018-11-07 20:25:00",69,1.253,196.4,25.07,16.73,83.7,0,0,0,16.3
"2018-11-07 20:30:00",70,1.278,202.1,31.51,16.75,83.7,0,0,0,16.38
"2018-11-07 20:35:00",71,1.848,193.2,24.59,16.86,83,0,0,0,16.5
"2018-11-07 20:40:00",72,1.553,186.7,30.07,16.9,83.9,0,0,0,16.6
"2018-11-07 20:45:00",73,1.593,196.5,27.22,16.87,83.9,0,0,0,16.6
"2018-11-07 20:50:00",74,1.399,179.2,31.07,16.86,83.3,0,0,0,16.61
"2018-11-07 20:55:00",75,1.323,192.7,19.39,16.86,83.2,0,0,0,16.59
"2018-11-07 21:00:00",76,1.303,195.8,21.77,16.72,83.2,0,0,0,16.44
"2018-11-07 21:05:00",77,1.316,189.1,21.7,16.67,82.8,0,0,0,16.35
"2018-11-07 21:10:00",78,1.407,184.9,26.41,16.63,82.6,0,0,0,16.29
"2018-11-07 21:15:00",79,1.675,188.2,23.98,16.62,81.8,0,0,0,16.24
"2018-11-07 21:20:00",80,1.38,191.1,32.04,16.56,81.3,0,0,0,16.16
"2018-11-07 21:25:00",81,1.49,193.8,28.64,16.51,80.1,0,0,0,16.08
"2018-11-07 21:30:00",82,1.57,195.4,27.74,16.53,80.4,0,0,0,16.1
"2018-11-07 21:35:00",83,1.559,201.3,22.08,16.39,80.5,0,0,0,15.96
"2018-11-07 21:40:00",84,1.953,204.5,23.93,16.42,80.3,0,0,0,15.98
"2018-11-07 21:45:00",85,1.907,197.2,25.88,16.38,80.1,0,0,0,16.01
"2018-11-07 21:50:00",86,1.923,189.9,38.06,16.45,79.72,0,0,0,16.1
"2018-11-07 21:55:00",87,1.815,193.6,30.85,16.56,79.55,0,0,0,16.24
"2018-11-07 22:00:00",88,1.432,186.8,35.92,16.53,80.1,0,0,0,16.23
"2018-11-07 22:05:00",89,1.865,196.6,23.36,16.42,80.2,0,0,0,16.08
"2018-11-07 22:10:00",90,1.6,190.1,24.07,16.27,81.2,0,0,0,15.92
"2018-11-07 22:15:00",91,1.342,193.5,30.01,16.04,82.2,0,0,0,15.72
"2018-11-07 22:20:00",92,1.521,186.6,20.53,15.83,83.2,0,0,0,15.52
"2018-11-07 22:25:00",93,0.885,187.2,29.15,15.69,84.2,0,0,0,15.33
"2018-11-07 22:30:00",94,1.561,186,26.65,15.7,83.5,0,0,0,15.32
"2018-11-07 22:35:00",95,1.271,176.5,35.29,15.89,83.8,0,0,0,15.6
"2018-11-07 22:40:00",96,1.593,182.8,23.45,16.01,82.9,0,0,0,15.82
"2018-11-07 22:45:00",97,1.311,195.6,28.08,16.14,82.6,0,0,0,15.97
"2018-11-07 22:50:00",98,1.293,195.5,32.52,16.17,83.1,0,0,0,16.01
"2018-11-07 22:55:00",99,1.61,183.3,28.92,16.08,83.8,0,0,0,15.9
