"TOA5","CR1000_Vasi Science Centre AWS","CR1000","84923","CR1000.Std.31.02","CPU:Vasi_Science Centre AWS.CR1","64103","Hourly"
"TIMESTAMP","RECORD","BattV_Min","BP_kPa","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","RH","SlrW_Avg","CUV5_W_Avg","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","Volts","kPa","meters/second","Deg","Deg","Deg C","%","W/m^2","W/m^2","mm","Deg C","Deg C",""
"","","Min","Smp","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Tot","Min","Avg","Avg"
"2018-11-07 15:00:00",0,12.67,101.536,3.286,154.7,40.05,21.77,60.33,432.6,23.11,0.762,22.31,22.61,0.001
"2018-11-07 16:00:00",1,12.64,101.5653,3.065,157.4,38.65,21.69,60.36,411.4,19.24,0,21.41,22.59,0.077
"2018-11-07 17:00:00",2,12.61,101.5714,2.801,150.4,35.53,21,63.55,266.2,10.81,0,20.81,21.3,0.077
"2018-11-07 18:00:00",3,12.49,101.6253,2.167,150.8,34.38,20.16,64.24,60.41,3.637,0,19.1,19.96,0.077
"2018-11-07 19:00:00",4,12.46,101.7445,1.224,173,33.11,18.65,71.03,0.682,0.122,0,17.79,18.31,0.076
"2018-11-07 20:00:00",5,12.41,101.8266,1.126,180.2,33.65,16.8,87.2,0,0,0,15.84,16.63,0.076
"2018-11-07 21:00:00",6,12.41,101.8756,1.346,195,25.91,16.69,83.2,0,0,0,15.91,16.36,0.076
"2018-11-07 22:00:00",7,12.37,101.9418,1.619,193.1,28.98,16.52,80.1,0,0,0,15.92,16.14,0.076
"2018-11-07 23:00:00",8,12.36,101.9433,1.439,188.3,28.79,16.01,84.9,0,0,0,15.24,15.75,0.075
"2018-11-08 00:00:00",9,12.37,101.9127,1.206,178.7,32.71,15.71,84.8,0,0,0,15.02,15.47,0.075
"2018-11-08 01:00:00",10,12.36,101.8592,1.337,189.4,26.13,15.68,87.8,0,0,0,14.68,15.38,0.075
"2018-11-08 02:00:00",11,12.35,101.8163,1.254,196.8,26.56,14.59,89.5,0,0,0,13.8,14.22,0.075
"2018-11-08 03:00:00",12,12.34,101.8116,1.177,200.2,25.42,13.69,90.4,0,0,0,13.09,13.34,0.075
"2018-11-08 04:00:00",13,12.33,101.8116,1.351,185.1,29.63,13.46,86,0,0,0,12.93,13.06,0.075
"2018-11-08 05:00:00",14,12.32,101.8279,1.212,190.9,28.34,13.69,82.4,0.235,0.072,0,12.99,13.14,0.074
"2018-11-08 06:00:00",15,12.32,101.8874,1.244,189.9,28.18,14.6,75.44,84.7,3.315,0,13.26,14.7,0.074
"2018-11-08 07:00:00",16,12.39,101.9466,1.815,192.7,30.48,16.98,65.55,321.7,12.61,0,16.76,18.36,0.074
"2018-11-08 08:00:00",17,12.46,101.9303,2.436,188.6,33.68,19.65,53.48,574.1,24.74,0,19.76,20.67,0.073
"2018-11-08 09:00:00",18,12.52,101.9232,2.412,171.6,41.15,21.93,43.1,796.8,35.82,0,21.92,23.09,0.074
"2018-11-08 10:00:00",19,12.61,101.8721,2.013,166.4,42.09,23.21,40.4,961,44.17,0,24.27,25.12,0.073
