"TOA5","Science Center AWS","CR1000","84923","CR1000.Std.31.02","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2018-11-08 00:00:00",0,1.837,173.7,36.81,7.175,15.31,23.24,52.24,89.6,753,169.1,28.33,7.591,0.153,0.762,15.02,18.24,0.073
"2018-11-09 00:00:00",1,1.349,157.8,48.07,5.675,12.5,26.01,36.66,97.1,1284,421.3,59.9,19.76,1.397,0,12.47,19.01,0.073
"2018-11-10 00:00:00",2,0.928,47.67,47.26,5.075,11.17,25.8,47.81,99.5,1624,302.7,68.33,14.49,1.038,0,11.49,19.42,0.069
"2018-11-11 00:00:00",3,1.428,21.03,54.58,6.875,14.78,26.73,47.83,95.7,1411,397.1,63.25,18.59,1.286,0,14.17,21.2,0.065
"2018-11-12 00:00:00",4,1.293,21.22,38.15,5.9,13.24,26.67,58.57,99.5,1365,306.9,57.87,14.33,1.05,0,13.13,20.87,0.061
"2018-11-13 00:00:00",5,1.584,22.36,36.61,7.475,15.9,27.74,50.71,98.3,1305,418.6,60.4,19.61,1.361,0,14.82,22.14,0.056
"2018-11-14 00:00:00",6,1.89,5.565,34.8,7.55,16.4,26.51,53.37,95.1,1372,260.8,57.16,12.4,0.852,0,15.91,22.22,0.051
"2018-11-15 00:00:00",7,1.222,354.2,35.76,5.45,15.55,28.67,46.73,98.8,1463,295.1,63.66,14.37,0.951,0,14.94,21.81,0.046
"2018-11-16 00:00:00",8,1.553,356.8,42.92,6.95,16.36,28.62,58.2,100,1470,337.5,63.36,15.15,1.017,0,15.38,22.72,0.041
"2018-11-17 00:00:00",9,1.869,15.23,31.66,6.8,18.21,30.47,59.33,100,1402,366.7,60.4,17.08,1.127,0,17.48,24.74,0.038
"2018-11-18 00:00:00",10,1.988,89.1,85.9,8.68,20.6,32.44,50.38,99.6,1281,335.5,51.87,15.09,1.083,0,20.04,25.64,0.035
"2018-11-19 00:00:00",11,1.553,156.4,42.31,5.975,19.27,28.12,54.22,94.2,1340,307,57.46,14.88,0.972,0,18.99,23.48,0.033
"2018-11-20 00:00:00",12,1.304,43.9,66,7.25,18.79,25.65,60.27,99.5,1300,189.7,56.15,9.72,0.666,1.524,19.05,21.88,0.032
"2018-11-21 00:00:00",13,2.641,355.6,45.43,8,20.39,33.92,47.03,92.9,1206,385.6,53.7,17.96,1.213,0,20.24,26.27,0.032
"2018-11-22 00:00:00",14,1.864,161,42.52,7.625,17.78,31.04,44.15,95.2,1233,342.2,53.9,16.62,0.932,0.508,17.72,23.76,0.031
"2018-11-23 00:00:00",15,1.936,156.7,42.35,6.65,18.14,27.6,45.77,95.6,1373,429.4,66.19,20.54,1.473,0.254,17.8,23.19,0.03
"2018-11-24 00:00:00",16,1.153,123.4,63.12,4.7,18.37,26.64,59.16,93.4,1515,269.6,64.98,13.39,0.871,0,18.46,22.33,0.029
"2018-11-25 00:00:00",17,2.194,2.923,29.21,7.775,19.52,28.8,56.04,91.3,1278,304.5,56.15,14.63,0.989,0,19.48,24.39,0.029
"2018-11-26 00:00:00",18,2.592,11.39,31.47,7.85,21.39,31.49,59.37,96.4,1164,392.7,53.4,18.7,1.217,0,20.75,26.33,0.029
"2018-11-27 00:00:00",19,2.036,10.03,42.24,6.875,20.58,33.96,48.61,99.2,1100,402.6,53.8,19.25,1.324,0,19.9,27.57,0.028
"2018-11-28 00:00:00",20,1.999,4.304,29.25,7.1,21.55,34.6,52.48,99.7,1234,391.3,51.77,18.74,1.214,0.254,21.47,27.75,0.028
"2018-11-29 00:00:00",21,2.256,165.5,44.94,8.6,16.74,26.8,62.2,98.8,1432,205.8,66.4,11.29,0.661,2.032,16.89,21.81,0.027
"2018-11-30 00:00:00",22,1.482,157.1,40.62,6.125,14.03,24.91,55.12,96.4,1526,263.7,68.94,13.16,0.86,0.508,13.02,20.03,0.027
"2018-12-01 00:00:00",23,1.821,41,63.16,7.85,13.15,27.07,49.62,92.5,1478,402.7,66.3,18.78,1.349,0,12.28,22.03,0.027
"2018-12-02 00:00:00",24,2.84,0.388,50.95,9.35,15.4,29.44,41.34,99.9,1238,383.5,57.15,18.15,1.296,6.858,14.85,23.58,0.027
"2018-12-03 00:00:00",25,1.792,26.15,49.03,7.25,20.69,28.38,61.64,98.5,1397,343.9,58.17,15.39,1.091,0.508,20.7,24.71,0.055
"2018-12-04 00:00:00",26,1.989,22.35,29.11,7.55,20.37,30.62,49.95,99.6,1087,415.9,52.79,19.14,1.352,0.254,20.32,26.18,0.052
"2018-12-05 00:00:00",27,1.429,72.43,60.23,8.6,19.62,27.39,77.02,98.3,1266,170.2,54.73,9.31,0.606,3.048,19.8,24.13,0.05
"2018-12-06 00:00:00",28,1.124,137,42.11,5.525,22.77,31.08,67.27,99.1,1456,306.2,60.91,14.25,0.965,0,22.46,26.55,0.05
